seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
38,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.5421740888868917,0.4204992184467287,3,2,30,2,2.0
46,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5868075329801923,0.4258829047967278,3,2,30,2,2.0
44,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6037576636561407,0.4187387877714006,6,2,30,2,2.0
18,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,20,0.6132454899096713,0.4164890586290568,3,2,30,2,2.0
28,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5644951698087979,0.4476328179582987,13,2,30,2,2.0
40,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.591604890235911,0.4251753494419616,7,2,30,2,2.0
22,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5481730903261779,0.4466624127755982,19,2,30,2,2.0
48,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6258097446626169,0.4323452854990877,28,2,30,2,2.0
26,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5591851883271124,0.4479053536546324,26,2,30,2,2.0
29,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.560685035389282,0.4295754720127043,7,2,30,2,2.0
17,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5640962250633192,0.4307990176272902,12,2,30,2,2.0
25,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,20,0.5554950228679042,0.4318199475665244,5,2,30,2,2.0
45,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5599685973021828,0.4425036873636869,13,2,30,2,2.0
37,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.5776255077584105,0.4309857782232414,10,2,30,2,2.0
9,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.6147919690372521,0.4255466164661152,11,2,30,2,2.0
49,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5761548423682314,0.4356372893363656,12,2,30,2,2.0
33,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5670446111981529,0.4424179433721699,16,2,30,2,2.0
13,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,20,0.5643146233129255,0.437211844371131,3,2,30,2,2.0
41,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.6044242664310309,0.4115421495496906,7,2,30,2,2.0
21,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5736509812289025,0.4309711874947621,28,2,30,2,2.0
