seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
24,beta,1,max,1.0,0.5,raw,none,,2,0.4293191891842038,0.6500742836209704,0.3517727858741769,0.856339486655529
1,beta,1,max,1.0,0.5,raw,none,,13,0.4398542142067091,0.6388156205054449,0.3589470014741013,0.8621649172107888
10,beta,1,max,1.0,0.5,raw,none,,6,0.429789791069185,0.6355919682304016,0.3557291439534855,0.8658013221517284
2,beta,1,max,1.0,0.5,raw,none,,13,0.4264992950060206,0.63790080511684,0.3569527971813477,0.8575105306923674
29,beta,1,max,1.0,0.5,raw,none,,2,0.4255114234092421,0.6622115131549094,0.373959667855151,0.8450082582686782
7,beta,1,max,1.0,0.5,raw,none,,2,0.4252607681575084,0.6589686987037982,0.3903486227785454,0.8211877972956184
14,beta,1,max,1.0,0.5,raw,none,,4,0.4460770251450857,0.59078476640952,0.3706609712034212,0.8599930216806804
19,beta,1,max,1.0,0.5,raw,none,,2,0.4258716732216552,0.6457487187258899,0.3599448454515224,0.8583768842050707
18,beta,1,max,1.0,0.5,raw,none,,2,0.4292327381711182,0.6611580183490786,0.3430259947915071,0.8746797917326532
42,beta,1,max,1.0,0.5,raw,none,,6,0.4346973533528301,0.6621601228689188,0.3642265572318704,0.8451251090501938
17,beta,1,max,1.0,0.5,raw,none,,5,0.4479335145960643,0.6248381344307271,0.3517556295798441,0.8593709621240211
21,beta,1,max,1.0,0.5,raw,none,,5,0.4281401603687578,0.6634225312543897,0.3483549661778699,0.887886942658121
35,beta,1,max,1.0,0.5,raw,none,,2,0.4196709881429492,0.6998331222981844,0.3616401974306115,0.8530318958126446
31,beta,1,max,1.0,0.5,raw,none,,6,0.4167427907387676,0.6846045623555421,0.3619092032059501,0.8535835898787635
36,beta,1,max,1.0,0.5,raw,none,,6,0.4526566189338779,0.6172107719928187,0.3529588202827134,0.8666937225088533
0,beta,1,max,1.0,0.5,raw,none,,11,0.4435170939214375,0.6298917340690259,0.3550725972130357,0.8564807417934337
15,beta,1,max,1.0,0.5,raw,none,,2,0.441024176056019,0.6351679684617735,0.3710505610982613,0.8608870473100986
4,beta,1,max,1.0,0.5,raw,none,,12,0.4421940920982046,0.6444879119059448,0.3586650760831331,0.8687405056972562
27,beta,1,max,1.0,0.5,raw,none,,2,0.4539609465743406,0.6073980645214928,0.3517081382875806,0.8707289238302396
5,beta,1,max,1.0,0.5,raw,none,,4,0.406906001760133,0.6712548907928539,0.3680688547734622,0.852102890932802
25,beta,1,max,1.0,0.5,raw,none,,2,0.4378104470835878,0.6076515110615222,0.3516415295253426,0.8649277385605293
20,beta,1,max,1.0,0.5,raw,none,,2,0.4107584755534458,0.6773307600950118,0.3757175692968307,0.8434919898596547
26,beta,1,max,1.0,0.5,raw,none,,2,0.4396464791375041,0.6284485283785493,0.3578853000060689,0.8479371267996606
43,beta,1,max,1.0,0.5,raw,none,,2,0.441785210844181,0.6264766537815862,0.3633045886346621,0.8563109455764994
34,beta,1,max,1.0,0.5,raw,none,,2,0.4297779854954424,0.6855106816363152,0.3467791132665599,0.8497485847392617
38,beta,1,max,1.0,0.5,raw,none,,6,0.4249194286210787,0.638887422564132,0.3562136380561457,0.868457797087193
13,beta,1,max,1.0,0.5,raw,none,,6,0.4398046655720123,0.6548357465159047,0.3720265159962616,0.8520095947340529
44,beta,1,max,1.0,0.5,raw,none,,2,0.4329305164274495,0.638468519447079,0.3639064044878358,0.8568921095008052
11,beta,1,max,1.0,0.5,raw,none,,2,0.4442672508724382,0.6349941628532723,0.3788415912634951,0.8359984984984985
8,beta,1,max,1.0,0.5,raw,none,,2,0.429049989972205,0.6489308509607934,0.3439565276570851,0.8620916169706416
16,beta,1,max,1.0,0.5,raw,none,,6,0.426102630696147,0.6657464738359747,0.3667779627140209,0.8583052022320037
23,beta,1,max,1.0,0.5,raw,none,,4,0.4267042287886086,0.6532727952552344,0.3657089251192962,0.8614476437459652
28,beta,1,max,1.0,0.5,raw,none,,3,0.4403830797524566,0.6520194897386431,0.3590384026551286,0.8672589499190515
30,beta,1,max,1.0,0.5,raw,none,,6,0.4532708064983098,0.613859086081959,0.3558913223883465,0.8653449057129913
3,beta,1,max,1.0,0.5,raw,none,,14,0.4346934797642189,0.6299425039970484,0.3422087013957625,0.8762067679219652
40,beta,1,max,1.0,0.5,raw,none,,2,0.4190722364394047,0.6621373763638218,0.3637210275968901,0.8569520816967793
47,beta,1,max,1.0,0.5,raw,none,,2,0.4145771103620342,0.6808780750665591,0.3549971124034623,0.8496639818706497
37,beta,1,max,1.0,0.5,raw,none,,6,0.4350585766245349,0.6552371385955678,0.3702079440243458,0.8524904430427886
46,beta,1,max,1.0,0.5,raw,none,,2,0.4268908958770696,0.682812859030331,0.3599725399538105,0.8551131723745643
6,beta,1,max,1.0,0.5,raw,none,,2,0.4425414518833432,0.6125386518243661,0.3626792596028471,0.8532281771321012
39,beta,1,max,1.0,0.5,raw,none,,2,0.413989978413293,0.6709177222739093,0.3637764949260062,0.8610900473933649
22,beta,1,max,1.0,0.5,raw,none,,2,0.4380757936552434,0.6303576022639569,0.3620424787009058,0.8517468239564429
32,beta,1,max,1.0,0.5,raw,none,,4,0.4414758205445724,0.6234820806024264,0.368682152761873,0.8331741331550293
1,beta,1,max,1.0,0.5,raw,none,,14,0.4408979105056961,0.6359879032258065,0.3501161280484797,0.8621814475025484
10,beta,1,max,1.0,0.5,raw,none,,7,0.4295557340247004,0.6388607605580341,0.3545955790920254,0.8732498689222215
2,beta,1,max,1.0,0.5,raw,none,,14,0.4260591947156774,0.6496115955186845,0.346042391150258,0.8625598102430578
24,beta,1,max,1.0,0.5,raw,none,,3,0.429946509239008,0.6489892000434169,0.3502027388475124,0.8594419208306294
12,beta,1,max,1.0,0.5,raw,none,,2,0.4253812363274199,0.6507649613156444,0.3676433979581437,0.8533526756931012
9,beta,1,max,1.0,0.5,raw,none,,2,0.4228814975635133,0.6592926550094977,0.3437557978574606,0.8707564158106946
29,beta,1,max,1.0,0.5,raw,none,,3,0.424938452695869,0.6753900187862452,0.357368152520785,0.8652944523865703
14,beta,1,max,1.0,0.5,raw,none,,5,0.4423220257964343,0.5989864294160707,0.3740316046477969,0.8485307901236258
7,beta,1,max,1.0,0.5,raw,none,,3,0.4182986267892165,0.6844610707745366,0.36246632880004,0.8498895427627305
19,beta,1,max,1.0,0.5,raw,none,,3,0.4269777163502405,0.6333227708585916,0.3684471317096788,0.8521033991275428
18,beta,1,max,1.0,0.5,raw,none,,3,0.4315353886667383,0.6460359855116021,0.3513073419111838,0.8732447585865826
42,beta,1,max,1.0,0.5,raw,none,,7,0.4354199793414294,0.66266314853564,0.36241172998352,0.8484883003728544
35,beta,1,max,1.0,0.5,raw,none,,3,0.4215796284345344,0.7012491252378534,0.3641997999369843,0.8495139243802345
17,beta,1,max,1.0,0.5,raw,none,,6,0.4470126006880701,0.6304152949245542,0.3513237990540747,0.855963697037112
21,beta,1,max,1.0,0.5,raw,none,,6,0.4285815832376892,0.654228824273072,0.3329851584685515,0.8958210727928352
33,beta,1,max,1.0,0.5,raw,none,,2,0.4385877098806424,0.6218995309452314,0.3874445375620863,0.8293186678887872
31,beta,1,max,1.0,0.5,raw,none,,7,0.4162972083829021,0.6915432065206946,0.3494328420762189,0.8704389469627839
15,beta,1,max,1.0,0.5,raw,none,,3,0.4395505669963444,0.6258943253328274,0.3735521100753236,0.8590292638379652
0,beta,1,max,1.0,0.5,raw,none,,12,0.4429684566651572,0.6386854742924035,0.3619704645698024,0.859087558197877
36,beta,1,max,1.0,0.5,raw,none,,7,0.4524415057137123,0.6134664272890485,0.3578145730903905,0.8662101997846249
48,beta,1,max,1.0,0.5,raw,none,,2,0.4510802469059271,0.5892010486376673,0.3510588110671716,0.8683582736933421
