seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,train_retention,observed_train_pairs,auc_knn,rmse_knn,auc_araf,rmse_araf,knn_k
18,0.006,1,beta,max,1.0,raw,raw,0.05,1167,0.7344740829333738,0.4224711374152878,0.7583396593553344,0.4223854367834266,5
33,0.0155,1,beta,max,1.0,raw,raw,0.05,1170,0.6723764808247082,0.4410818815509527,0.6507124272978213,0.4770654931820996,5
2,0.01,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.6987694361631859,0.4464133859503998,5
45,0.016,1,beta,max,1.0,raw,raw,0.05,1146,0.7093714073020133,0.4345061351235435,0.7343046938083274,0.4265518564426427,5
11,0.0159,1,beta,max,1.0,raw,raw,0.05,1225,0.7022333762708713,0.431630233708613,0.6880646823836092,0.4533668234524033,5
42,0.03,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.7202857185786978,0.4358616704858127,5
34,0.022,1,beta,max,1.0,raw,raw,0.05,1174,0.710981413225345,0.4250293356924769,0.713860059652271,0.4460235406838373,5
18,0.025,1,beta,max,1.0,raw,raw,0.05,1167,0.7344740829333738,0.4224711374152878,0.7591130349103461,0.4219470315827683,5
41,0.005,1,beta,max,1.0,raw,raw,0.05,1171,0.6627467674964972,0.4510627053032918,0.6858760570172453,0.4519474909504599,5
24,0.026,1,beta,max,1.0,raw,raw,0.05,1113,0.6870051150548139,0.4348733252755966,0.6545299441007273,0.4648940756346666,5
6,0.022,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6592843479886669,0.4737657183553366,5
2,0.028,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.7008310019713504,0.4459051237803897,5
20,0.032,1,beta,max,1.0,raw,raw,0.05,1156,0.6867727857999578,0.4287816295690214,0.7071476446932105,0.4344980758464161,5
46,0.025,1,beta,max,1.0,raw,raw,0.05,1170,0.7133193670534619,0.4305447956077215,0.6603387570848652,0.4772968106830034,5
30,0.028,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.664956584207896,0.4658945692203555,5
36,0.029,1,beta,max,1.0,raw,raw,0.05,1194,0.6752614003590665,0.4411635448979221,0.6684459605026929,0.4722723544692823,5
40,0.024,1,beta,max,1.0,raw,raw,0.05,1152,0.6943544789436118,0.4277609202887754,0.7116437876006932,0.4367904017430504,5
4,0.035,1,beta,max,1.0,raw,raw,0.05,1198,0.6785715764199372,0.4422239140320982,0.7017669868079704,0.4619313533200076,5
8,0.029,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6937259075236324,0.4514992257108417,5
26,0.034,1,beta,max,1.0,raw,raw,0.05,1150,0.6767095745402253,0.4408625064071425,0.6662095776861348,0.4642814633415879,5
48,0.032,1,beta,max,1.0,raw,raw,0.05,1163,0.573049489125239,0.4841154079693574,0.5857530174474187,0.5135638337319363,5
32,0.035,1,beta,max,1.0,raw,raw,0.05,1161,0.623778413052573,0.4615627186541597,0.6807823176683865,0.4637819713820566,5
12,0.024,1,beta,max,1.0,raw,raw,0.05,1196,0.736087490632603,0.4088793177876708,0.7339132279622361,0.4200481668452496,5
14,0.03,1,beta,max,1.0,raw,raw,0.05,1211,0.6225804756273814,0.4674626793473909,0.6168087542466731,0.4860064656912683,5
38,0.036,1,beta,max,1.0,raw,raw,0.05,1208,0.6601244453116178,0.4420701494627009,0.7054212958910462,0.4380570849893404,5
10,0.036,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.713890130139076,0.443495490064129,5
44,0.038,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6787488060165355,0.4528516569773367,5
16,0.038,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7248630887185105,0.434185226068765,5
22,0.04,1,beta,max,1.0,raw,raw,0.05,1153,0.6563448234543667,0.4497982599459262,0.6722326969772793,0.4727795337648625,5
13,0.005,1,beta,max,1.0,raw,raw,0.05,1141,0.6977321523192772,0.4401580581925816,0.7292505107806342,0.444509199966595,5
7,0.004,1,beta,max,1.0,raw,raw,0.05,1149,0.7646991223150162,0.3992344422065069,0.702812354026482,0.4404163231693445,5
47,0.006,1,beta,max,1.0,raw,raw,0.05,1180,0.7442514057120938,0.3998999776059903,0.7153503956348064,0.4243741188264892,5
48,0.004,1,beta,max,1.0,raw,raw,0.05,1163,0.573049489125239,0.4841154079693574,0.5846117650573613,0.5119480463803803,5
6,0.015,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6599013389711064,0.4731455390533642,5
18,0.0155,1,beta,max,1.0,raw,raw,0.05,1167,0.7344740829333738,0.4224711374152878,0.7589469574674429,0.422123553207218,5
4,0.006,1,beta,max,1.0,raw,raw,0.05,1198,0.6785715764199372,0.4422239140320982,0.7010445989954186,0.4613940838618862,5
14,0.02,1,beta,max,1.0,raw,raw,0.05,1211,0.6225804756273814,0.4674626793473909,0.6155106331062186,0.4858011661641968,5
42,0.002,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.721766051255049,0.4351443667475744,5
8,0.018,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6945945684177901,0.4515340268091071,5
35,0.004,1,beta,max,1.0,raw,raw,0.05,1138,0.7421335770574757,0.4113569577392005,0.753209996746704,0.4151192082831261,5
14,0.002,1,beta,max,1.0,raw,raw,0.05,1211,0.6225804756273814,0.4674626793473909,0.6149723145071982,0.4844772015700358,5
40,0.0151,1,beta,max,1.0,raw,raw,0.05,1152,0.6943544789436118,0.4277609202887754,0.7123400377281532,0.436381118411353,5
20,0.004,1,beta,max,1.0,raw,raw,0.05,1156,0.6867727857999578,0.4287816295690214,0.7081228980974107,0.4334563303888368,5
28,0.014,1,beta,max,1.0,raw,raw,0.05,1159,0.7198943036784826,0.4337780363217908,0.7069672918198217,0.4538456185269649,5
46,0.0155,1,beta,max,1.0,raw,raw,0.05,1170,0.7133193670534619,0.4305447956077215,0.6605697332643996,0.4767345211804871,5
12,0.0151,1,beta,max,1.0,raw,raw,0.05,1196,0.736087490632603,0.4088793177876708,0.7338509497428456,0.4199161972726625,5
30,0.016,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.6659662356321839,0.4655026326263835,5
32,0.006,1,beta,max,1.0,raw,raw,0.05,1161,0.623778413052573,0.4615627186541597,0.6841556268302887,0.4613871078835142,5
34,0.015,1,beta,max,1.0,raw,raw,0.05,1174,0.710981413225345,0.4250293356924769,0.7134414631780597,0.4460555285699673,5
16,0.01,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7256058423995478,0.4337088629703816,5
38,0.008,1,beta,max,1.0,raw,raw,0.05,1208,0.6601244453116178,0.4420701494627009,0.7072294413659049,0.4360720115882892,5
24,0.0159,1,beta,max,1.0,raw,raw,0.05,1113,0.6870051150548139,0.4348733252755966,0.6544336128296973,0.464680731261672,5
36,0.018,1,beta,max,1.0,raw,raw,0.05,1194,0.6752614003590665,0.4411635448979221,0.6679066427289049,0.4718491149269915,5
2,0.016,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.6993582272638014,0.4462939205781727,5
10,0.008,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.714410854612766,0.4425258110622117,5
22,0.012,1,beta,max,1.0,raw,raw,0.05,1153,0.6563448234543667,0.4497982599459262,0.6714520829882539,0.4723933410859178,5
26,0.005,1,beta,max,1.0,raw,raw,0.05,1150,0.6767095745402253,0.4408625064071425,0.6657866276480692,0.4638172002260426,5
0,0.014,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7087458197986658,0.4589115490865587,5
44,0.01,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6769330785273611,0.4525397895474576,5
20,0.022,1,beta,max,1.0,raw,raw,0.05,1156,0.6867727857999578,0.4287816295690214,0.7079560687660216,0.4340293345953253,5
48,0.022,1,beta,max,1.0,raw,raw,0.05,1163,0.573049489125239,0.4841154079693574,0.5854105670411089,0.512916967524614,5
12,0.034,1,beta,max,1.0,raw,raw,0.05,1196,0.736087490632603,0.4088793177876708,0.7342906613467837,0.4201208131315379,5
40,0.034,1,beta,max,1.0,raw,raw,0.05,1152,0.6943544789436118,0.4277609202887754,0.7112311359233202,0.4379605355718959,5
0,0.03,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7090128050220604,0.4590209459385381,5
18,0.035,1,beta,max,1.0,raw,raw,0.05,1167,0.7344740829333738,0.4224711374152878,0.7591650890342411,0.4219361896644286,5
4,0.025,1,beta,max,1.0,raw,raw,0.05,1198,0.6785715764199372,0.4422239140320982,0.7020891979908374,0.461141153378892,5
42,0.02,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.7204640640423536,0.4357301471847213,5
16,0.028,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7251600624602837,0.4339998937762697,5
34,0.032,1,beta,max,1.0,raw,raw,0.05,1174,0.710981413225345,0.4250293356924769,0.7140861805572395,0.4460585518494282,5
22,0.029,1,beta,max,1.0,raw,raw,0.05,1153,0.6563448234543667,0.4497982599459262,0.67188767616678,0.4725597850629244,5
28,0.03,1,beta,max,1.0,raw,raw,0.05,1159,0.7198943036784826,0.4337780363217908,0.7078331580263103,0.4544196214764636,5
24,0.036,1,beta,max,1.0,raw,raw,0.05,1113,0.6870051150548139,0.4348733252755966,0.654189392705959,0.4651718584491006,5
32,0.025,1,beta,max,1.0,raw,raw,0.05,1161,0.623778413052573,0.4615627186541597,0.6817100125505509,0.4631157018008663,5
2,0.002,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.6976457281882704,0.446634038236371,5
26,0.024,1,beta,max,1.0,raw,raw,0.05,1150,0.6767095745402253,0.4408625064071425,0.6661697295007302,0.4640544954887574,5
38,0.026,1,beta,max,1.0,raw,raw,0.05,1208,0.6601244453116178,0.4420701494627009,0.7060306930355662,0.4372977402319662,5
10,0.026,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.7137778170172999,0.4432615768859327,5
46,0.035,1,beta,max,1.0,raw,raw,0.05,1170,0.7133193670534619,0.4305447956077215,0.6597451602711397,0.4774517767457364,5
44,0.028,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6783964004964554,0.4525730454515257,5
6,0.032,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6582725690699114,0.4746389968481977,5
2,0.038,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.7021099569771267,0.4453198950973308,5
8,0.04,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6927198347667751,0.4516403276369587,5
36,0.04,1,beta,max,1.0,raw,raw,0.05,1194,0.6752614003590665,0.4411635448979221,0.6684969479353681,0.4728117600288324,5
30,0.038,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.6646895302348826,0.4661035856001408,5
49,0.004,1,beta,max,1.0,raw,raw,0.05,1177,0.6788616331254803,0.4445783687351301,0.6943355349717568,0.4508543837804298,5
30,0.002,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.6653149987506246,0.4646254916656742,5
7,0.015,1,beta,max,1.0,raw,raw,0.05,1149,0.7646991223150162,0.3992344422065069,0.7015722402035867,0.4414693567856848,5
19,0.0155,1,beta,max,1.0,raw,raw,0.05,1187,0.6894622093023256,0.4258916869123158,0.7219376859914031,0.4331674112195148,5
5,0.0155,1,beta,max,1.0,raw,raw,0.05,1228,0.7322601185383715,0.40272925713115,0.7323481097059609,0.4175063989628594,5
49,0.015,1,beta,max,1.0,raw,raw,0.05,1177,0.6788616331254803,0.4445783687351301,0.693430368101194,0.451931895397887,5
5,0.006,1,beta,max,1.0,raw,raw,0.05,1228,0.7322601185383715,0.40272925713115,0.7332036454502918,0.4168026424105456,5
24,0.018,1,beta,max,1.0,raw,raw,0.05,1113,0.6870051150548139,0.4348733252755966,0.6543844296103333,0.464720268838563,5
25,0.008,1,beta,max,1.0,raw,raw,0.05,1230,0.6300246244841157,0.4580233150371855,0.652293886169498,0.4668057173525909,5
34,0.0155,1,beta,max,1.0,raw,raw,0.05,1174,0.710981413225345,0.4250293356924769,0.7134517689565703,0.4460512024051541,5
8,0.004,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6938590820161165,0.4520276198651796,5
15,0.02,1,beta,max,1.0,raw,raw,0.05,1076,0.6947221299897754,0.4403039283270066,0.7242925112523586,0.4395204958666319,5
46,0.016,1,beta,max,1.0,raw,raw,0.05,1170,0.7133193670534619,0.4305447956077215,0.6606002508425245,0.4767590570804739,5
48,0.006,1,beta,max,1.0,raw,raw,0.05,1163,0.573049489125239,0.4841154079693574,0.5847887786806882,0.5120447881897683,5
12,0.0159,1,beta,max,1.0,raw,raw,0.05,1196,0.736087490632603,0.4088793177876708,0.7338618997594418,0.4199287059139626,5
42,0.005,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.7215406696251544,0.4352397263348065,5
14,0.005,1,beta,max,1.0,raw,raw,0.05,1211,0.6225804756273814,0.4674626793473909,0.6151209715261745,0.4844934718545506,5
43,0.002,1,beta,max,1.0,raw,raw,0.05,1187,0.6641872138284165,0.4570056549469471,0.7116756323950437,0.4477446210890619,5
9,0.018,1,beta,max,1.0,raw,raw,0.05,1221,0.7134637864692417,0.4257475813406642,0.7014173688568507,0.4460493650251644,5
0,0.005,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7085719371147112,0.4590643955033174,5
8,0.015,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6945739869053154,0.4515932600638913,5
36,0.004,1,beta,max,1.0,raw,raw,0.05,1194,0.6752614003590665,0.4411635448979221,0.667434829443447,0.471665091910727,5
15,0.002,1,beta,max,1.0,raw,raw,0.05,1076,0.6947221299897754,0.4403039283270066,0.7232305205072258,0.4399741580808768,5
39,0.0159,1,beta,max,1.0,raw,raw,0.05,1120,0.7070654118657411,0.4229475445429084,0.7403086905699086,0.4229721179401083,5
41,0.0151,1,beta,max,1.0,raw,raw,0.05,1171,0.6627467674964972,0.4510627053032918,0.6863964059071155,0.4520000436706859,5
20,0.0155,1,beta,max,1.0,raw,raw,0.05,1156,0.6867727857999578,0.4287816295690214,0.7081320847346018,0.4337488017491656,5
31,0.01,1,beta,max,1.0,raw,raw,0.05,1185,0.7359125287680125,0.4092183971075784,0.746894756986831,0.4227771649535142,5
29,0.02,1,beta,max,1.0,raw,raw,0.05,1119,0.7255949733937155,0.4239746403037893,0.668701994488158,0.4689080289853348,5
9,0.012,1,beta,max,1.0,raw,raw,0.05,1221,0.7134637864692417,0.4257475813406642,0.7018051970191417,0.4459575532014577,5
15,0.014,1,beta,max,1.0,raw,raw,0.05,1076,0.6947221299897754,0.4403039283270066,0.7240144963054317,0.4395877208159308,5
27,0.0151,1,beta,max,1.0,raw,raw,0.05,1126,0.6007510925864854,0.4740181053814221,0.6465590107554297,0.4840119601094104,5
1,0.02,1,beta,max,1.0,raw,raw,0.05,1159,0.6738744349702075,0.4505627140431472,0.6873048078898706,0.4583718778557474,5
21,0.004,1,beta,max,1.0,raw,raw,0.05,1192,0.6576193987919652,0.4477014209266354,0.6899687456103385,0.456093992708252,5
6,0.006,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6606398584803901,0.4723567959835342,5
43,0.014,1,beta,max,1.0,raw,raw,0.05,1187,0.6641872138284165,0.4570056549469471,0.7110270048411569,0.4489743106710364,5
17,0.016,1,beta,max,1.0,raw,raw,0.05,1179,0.6527681755829904,0.457163652983196,0.6622191358024692,0.4739094978017477,5
16,0.02,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7253574063015912,0.4338700556812668,5
10,0.018,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.7139429833728531,0.4429821644792082,5
44,0.002,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6764692457380748,0.4525518739061562,5
21,0.015,1,beta,max,1.0,raw,raw,0.05,1192,0.6576193987919652,0.4477014209266354,0.6899701503020087,0.4563181767410356,5
16,0.002,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7256824807845216,0.4336077541804753,5
42,0.0151,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.7209491245066919,0.4353496635330563,5
22,0.004,1,beta,max,1.0,raw,raw,0.05,1153,0.6563448234543667,0.4497982599459262,0.6712730527821927,0.4722826876527886,5
37,0.012,1,beta,max,1.0,raw,raw,0.05,1111,0.7267677334613281,0.4175379128002662,0.7254835929355177,0.4398267556357916,5
19,0.006,1,beta,max,1.0,raw,raw,0.05,1187,0.6894622093023256,0.4258916869123158,0.7214175989198722,0.4321100263188925,5
3,0.01,1,beta,max,1.0,raw,raw,0.05,1191,0.6684011806665847,0.4537780429644535,0.7171590210306236,0.4467113508670466,5
43,0.03,1,beta,max,1.0,raw,raw,0.05,1187,0.6641872138284165,0.4570056549469471,0.7101193299758111,0.4505306492730233,5
21,0.032,1,beta,max,1.0,raw,raw,0.05,1192,0.6576193987919652,0.4477014209266354,0.6890451608371961,0.4567034923655484,5
15,0.03,1,beta,max,1.0,raw,raw,0.05,1076,0.6947221299897754,0.4403039283270066,0.7246192776354762,0.4394689599469121,5
25,0.026,1,beta,max,1.0,raw,raw,0.05,1230,0.6300246244841157,0.4580233150371855,0.6538512873116422,0.4667925654894723,5
19,0.025,1,beta,max,1.0,raw,raw,0.05,1187,0.6894622093023256,0.4258916869123158,0.7214113992064366,0.434226390748062,5
7,0.022,1,beta,max,1.0,raw,raw,0.05,1149,0.7646991223150162,0.3992344422065069,0.7010130740815067,0.4419762635912985,5
3,0.028,1,beta,max,1.0,raw,raw,0.05,1191,0.6684011806665847,0.4537780429644535,0.7150934694379536,0.4481372752031354,5
49,0.032,1,beta,max,1.0,raw,raw,0.05,1177,0.6788616331254803,0.4445783687351301,0.6929258488618639,0.4527010414155374,5
37,0.029,1,beta,max,1.0,raw,raw,0.05,1111,0.7267677334613281,0.4175379128002662,0.7264583913954521,0.4392126654682194,5
39,0.036,1,beta,max,1.0,raw,raw,0.05,1120,0.7070654118657411,0.4229475445429084,0.7400498580595911,0.4233287735033888,5
47,0.025,1,beta,max,1.0,raw,raw,0.05,1180,0.7442514057120938,0.3998999776059903,0.7144083614019087,0.4249449575066896,5
45,0.038,1,beta,max,1.0,raw,raw,0.05,1146,0.7093714073020133,0.4345061351235435,0.7334167814829157,0.4270687061999419,5
9,0.029,1,beta,max,1.0,raw,raw,0.05,1221,0.7134637864692417,0.4257475813406642,0.7008688081437826,0.446316824619232,5
17,0.038,1,beta,max,1.0,raw,raw,0.05,1179,0.6527681755829904,0.457163652983196,0.6634475308641975,0.4733796534434199,5
35,0.022,1,beta,max,1.0,raw,raw,0.05,1138,0.7421335770574757,0.4113569577392005,0.75358447686298,0.4148241990362102,5
23,0.04,1,beta,max,1.0,raw,raw,0.05,1176,0.6932527422398241,0.4289124868804562,0.6332191109651467,0.4617795203892191,5
27,0.034,1,beta,max,1.0,raw,raw,0.05,1126,0.6007510925864854,0.4740181053814221,0.645622310103342,0.4855311807810524,5
13,0.024,1,beta,max,1.0,raw,raw,0.05,1141,0.6977321523192772,0.4401580581925816,0.7290989420133344,0.4450504971098901,5
5,0.035,1,beta,max,1.0,raw,raw,0.05,1228,0.7322601185383715,0.40272925713115,0.7290971927844864,0.4189640209938063,5
33,0.035,1,beta,max,1.0,raw,raw,0.05,1170,0.6723764808247082,0.4410818815509527,0.6501545279608141,0.478711893741395,5
31,0.028,1,beta,max,1.0,raw,raw,0.05,1185,0.7359125287680125,0.4092183971075784,0.7472280842796368,0.4220245237637138,5
11,0.036,1,beta,max,1.0,raw,raw,0.05,1225,0.7022333762708713,0.431630233708613,0.690844523799119,0.4527617511256403,5
41,0.024,1,beta,max,1.0,raw,raw,0.05,1171,0.6627467674964972,0.4510627053032918,0.6863308157109134,0.4523064685275491,5
6,0.0155,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6598445297780846,0.4731885891489804,5
0,0.0151,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7088837621640864,0.4588520102679372,5
9,0.015,1,beta,max,1.0,raw,raw,0.05,1221,0.7134637864692417,0.4257475813406642,0.7015781014076274,0.4460006549920203,5
26,0.008,1,beta,max,1.0,raw,raw,0.05,1150,0.6767095745402253,0.4408625064071425,0.6658341658341659,0.4638565383491846,5
1,0.005,1,beta,max,1.0,raw,raw,0.05,1159,0.6738744349702075,0.4505627140431472,0.6873991935483871,0.4578171518239193,5
21,0.0155,1,beta,max,1.0,raw,raw,0.05,1192,0.6576193987919652,0.4477014209266354,0.6899525916561315,0.4563311080168966,5
7,0.006,1,beta,max,1.0,raw,raw,0.05,1149,0.7646991223150162,0.3992344422065069,0.7024807422158416,0.4406427176951247,5
17,0.02,1,beta,max,1.0,raw,raw,0.05,1179,0.6527681755829904,0.457163652983196,0.6624125514403293,0.4737653881029756,5
40,0.0159,1,beta,max,1.0,raw,raw,0.05,1152,0.6943544789436118,0.4277609202887754,0.7122769450392576,0.4364168177717257,5
45,0.002,1,beta,max,1.0,raw,raw,0.05,1146,0.7093714073020133,0.4345061351235435,0.7343269066251228,0.4262242593572105,5
30,0.02,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.6655437906046977,0.4656852990347898,5
2,0.02,1,beta,max,1.0,raw,raw,0.05,1196,0.698298275769732,0.4212774884398609,0.6998478770367008,0.4461836575632417,5
11,0.018,1,beta,max,1.0,raw,raw,0.05,1225,0.7022333762708713,0.431630233708613,0.688290121799714,0.4533814493787601,5
16,0.014,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7254589521616813,0.4337787748900587,5
10,0.012,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.714168210221335,0.4427213405119478,5
28,0.0151,1,beta,max,1.0,raw,raw,0.05,1159,0.7198943036784826,0.4337780363217908,0.7071357482802281,0.4538786802602296,5
17,0.002,1,beta,max,1.0,raw,raw,0.05,1179,0.6527681755829904,0.457163652983196,0.6613302469135802,0.4742298571120128,5
32,0.01,1,beta,max,1.0,raw,raw,0.05,1161,0.623778413052573,0.4615627186541597,0.6835155487379724,0.461888496062374,5
18,0.016,1,beta,max,1.0,raw,raw,0.05,1167,0.7344740829333738,0.4224711374152878,0.7589568725386611,0.4221112155115195,5
44,0.014,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6772049342142801,0.4525372870241255,5
23,0.004,1,beta,max,1.0,raw,raw,0.05,1176,0.6932527422398241,0.4289124868804562,0.6343883127976098,0.4606733373385798,5
47,0.0155,1,beta,max,1.0,raw,raw,0.05,1180,0.7442514057120938,0.3998999776059903,0.7148761166269694,0.4247617677952328,5
