n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,31,0.01,0.4196714319773377,0.6723558509232338,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.509066641330719, 0.5093797445297241, 0.5085581541061401, 0.5087615847587585, 0.5084919929504395, 0.5098235011100769, 0.5094666481018066, 0.5090281963348389, 0.5097923278808594, 0.5089762806892395, 0.5080453753471375, 0.5087612867355347, 0.5089311003684998, 0.5093294978141785, 0.5071942210197449, 0.5100626349449158, 0.5097126364707947, 0.5088728070259094, 0.5087677240371704, 0.5071073174476624, 0.5090218782424927, 0.5096350908279419, 0.5092126131057739, 0.5072840452194214, 0.5089089274406433, 0.5085906982421875, 0.5078257322311401, 0.5093040466308594, 0.5086084604263306, 0.5087612271308899]",pca,Pre-32
1,bernoulli,48,0.015,0.411622179783376,0.706738358912272,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.509722113609314, 0.5091035962104797, 0.5097119808197021, 0.5095900893211365, 0.509361743927002, 0.5095043778419495, 0.5089800357818604, 0.5099979639053345, 0.5097479820251465, 0.509403645992279, 0.508281946182251, 0.5095880031585693, 0.5085121393203735, 0.5095178484916687, 0.507415235042572, 0.5097548961639404, 0.5095071196556091, 0.5094462633132935, 0.5096180438995361, 0.5096807479858398, 0.5094010829925537, 0.5098327398300171, 0.509329617023468, 0.5096847414970398, 0.5096586346626282, 0.5093287825584412, 0.5082998275756836, 0.5074769854545593, 0.5092121362686157, 0.5098254680633545]",pca,Pre-32
1,bernoulli,26,0.0151,0.4121903434869355,0.7129251700680272,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5098193287849426, 0.5064387321472168, 0.5095091462135315, 0.5073865056037903, 0.5097526907920837, 0.5093927383422852, 0.5100120306015015, 0.5099202394485474, 0.5089364647865295, 0.509394645690918, 0.5102339386940002, 0.510094404220581, 0.509027361869812, 0.5073214173316956, 0.5093915462493896, 0.508634626865387, 0.5070284605026245, 0.5098090767860413, 0.5075365900993347, 0.510141134262085, 0.5090115666389465, 0.5097790956497192, 0.509332537651062, 0.5067031383514404, 0.509859561920166, 0.5089685916900635, 0.5101897120475769, 0.5099596381187439, 0.5096321702003479, 0.5092912912368774]",pca,Pre-32
1,bernoulli,44,0.016,0.4219481793265463,0.6932905852893684,1,[19],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0032735851127654314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,37,0.012,0.4363644372212943,0.6651515151515152,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5089266300201416, 0.507610023021698, 0.5099942684173584, 0.5097945332527161, 0.5072675347328186, 0.5107892751693726, 0.5085517168045044, 0.5082029700279236, 0.5077280402183533, 0.5106558799743652, 0.5073372721672058, 0.508806586265564, 0.5091851949691772, 0.5099543929100037, 0.5083214640617371, 0.5101937055587769, 0.5092408061027527, 0.5084922909736633, 0.5072270631790161, 0.5098755359649658, 0.5098792314529419, 0.5099226832389832, 0.5102624297142029, 0.5098994374275208, 0.5096468329429626, 0.508708119392395, 0.5109120011329651, 0.5085324048995972, 0.5105136632919312, 0.5097751021385193]",pca,Pre-32
1,bernoulli,34,0.022,0.4434003768984682,0.6249985190450802,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,16,0.016,0.4317977757286642,0.6442755068128947,1,[14],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018662111833691597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,0,0.02,0.4268117735243902,0.694298828079495,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,49,0.015,0.4239155551720104,0.6724841660802251,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.03439461439847946, 0.03169933333992958, 0.02972181886434555, 0.032696545124053955, 0.03620966523885727, 0.03380110114812851, 0.033939179033041, 0.03404080495238304, 0.0415353998541832, 0.030263086780905724, 0.04187125712633133, 0.036111343652009964, 0.035543739795684814, 0.03576406463980675, 0.03564402833580971, 0.03559122979640961, 0.03650898486375809, 0.03417788818478584, 0.031509291380643845, 0.03341883793473244, 0.03536883369088173, 0.03466068580746651, 0.03672628104686737, 0.030983224511146545, 0.03227495774626732, 0.0323721207678318, 0.033482663333415985, 0.03172438591718674, 0.03238698095083237, 0.03589290380477905]",pca,Pre-32
1,bernoulli,27,0.0151,0.4461328746520723,0.6492030730420824,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.030115308240056038, 0.031807318329811096, 0.026978980749845505, 0.02604915015399456, 0.02853851579129696, 0.028721310198307037, 0.022535528987646103, 0.031116200610995293, 0.027863068506121635, 0.030053721740841866, 0.02654121443629265, 0.03011113964021206, 0.02557903341948986, 0.0296745877712965, 0.03103105165064335, 0.027155639603734016, 0.029179483652114868, 0.03543276712298393, 0.027343807741999626, 0.030683180317282677, 0.029815861955285072, 0.028460819274187088, 0.02929966151714325, 0.027941269800066948, 0.029422864317893982, 0.027871742844581604, 0.029536696150898933, 0.029454752802848816, 0.030230099335312843, 0.030553095042705536]",pca,Pre-32
1,bernoulli,45,0.016,0.4314977832418988,0.6559836782279218,2,"[17, 29]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002715382957831025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012912619858980179]",pca,Pre-32
1,bernoulli,17,0.016,0.4386798752609747,0.6452526512788521,8,"[12, 13, 18, 20, 22, 23, 27, 28]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003268350148573518, 0.003176905680447817, 0.0, 0.0, 0.0, 0.0, 0.002424288773909211, 0.0, 0.003309396328404546, 0.0, 0.0015500466106459498, 0.007097422145307064, 0.0, 0.0, 0.0, 0.002923030173406005, 0.0010395024437457323, 0.0]",pca,Pre-32
1,bernoulli,35,0.022,0.4227909987424852,0.6457047753168609,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,1,0.02,0.4285057637028444,0.6446376055402712,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,40,0.024,0.4628882267241982,0.6318624186557311,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,18,0.006,0.4209053233705245,0.7343285350393934,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5097879767417908, 0.5082300305366516, 0.5084844827651978, 0.507753312587738, 0.5081473588943481, 0.5091883540153503, 0.5096222758293152, 0.5101699233055115, 0.5078853368759155, 0.5080908536911011, 0.5089382529258728, 0.5092136263847351, 0.5088005661964417, 0.5093857645988464, 0.5075840950012207, 0.5097323060035706, 0.5091438889503479, 0.5083344578742981, 0.5096606016159058, 0.5095569491386414, 0.5079333186149597, 0.5090751647949219, 0.5080490112304688, 0.5087873935699463, 0.507752001285553, 0.5096981525421143, 0.5088076591491699, 0.5094109773635864, 0.5072086453437805, 0.5089680552482605]",pca,Pre-32
1,bernoulli,4,0.0155,0.4354169677508224,0.6823797065180298,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.009932312183082104, 0.010041789151728153, 0.009032252244651318, 0.006478658877313137, 0.008636274375021458, 0.011856479570269585, 0.008401285856962204, 0.009937132708728313, 0.010636167600750923, 0.009711798280477524, 0.00962294265627861, 0.014445813372731209, 0.006782211363315582, 0.010042593814432621, 0.009777153842151165, 0.010761700570583344, 0.005574371200054884, 0.008418923243880272, 0.011281512677669525, 0.011457763612270355, 0.004651665687561035, 0.01590912602841854, 0.01161727961152792, 0.009891863912343979, 0.008229851722717285, 0.010439308360219002, 0.009350914508104324, 0.00920860655605793, 0.008688069880008698, 0.008296465501189232]",pca,Pre-32
1,bernoulli,2,0.01,0.3957213778866052,0.7054714177723327,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5090621113777161, 0.5087727904319763, 0.5099524855613708, 0.5087999105453491, 0.5088639855384827, 0.5100120306015015, 0.5087226033210754, 0.509711742401123, 0.5094723701477051, 0.5095536112785339, 0.5101910829544067, 0.5081899762153625, 0.5092654824256897, 0.5078057646751404, 0.5091223120689392, 0.5080354809761047, 0.5092058777809143, 0.5086499452590942, 0.5096354484558105, 0.5089297294616699, 0.5082200765609741, 0.5082460641860962, 0.5091902017593384, 0.509048342704773, 0.509795069694519, 0.5092977285385132, 0.509513795375824, 0.5082550048828125, 0.5097248554229736, 0.5089494585990906]",pca,Pre-32
1,bernoulli,8,0.012,0.4152616375274809,0.6681598062953995,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5092752575874329, 0.5116782188415527, 0.5099869966506958, 0.5112340450286865, 0.5097364187240601, 0.5113644599914551, 0.512019693851471, 0.5120096206665039, 0.5115196108818054, 0.5094342231750488, 0.5098257660865784, 0.512198269367218, 0.5117508769035339, 0.5110636949539185, 0.5093430280685425, 0.512095034122467, 0.5091264843940735, 0.5092969536781311, 0.5121222138404846, 0.511656641960144, 0.509745180606842, 0.5097773671150208, 0.5113509297370911, 0.5101048350334167, 0.5105028748512268, 0.509856641292572, 0.5116197466850281, 0.5095608234405518, 0.5091271996498108, 0.5114907622337341]",pca,Pre-32
1,bernoulli,6,0.022,0.4310326415466577,0.6210028050490883,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,24,0.026,0.4134182326194839,0.6906952965235174,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",pca,Pre-32
1,bernoulli,28,0.002,0.4315515141397467,0.7031018175074185,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5103982090950012, 0.5109235644340515, 0.5108003616333008, 0.5103964805603027, 0.5085504055023193, 0.5103771686553955, 0.5100069642066956, 0.5113921165466309, 0.5103949308395386, 0.5110340714454651, 0.5110028386116028, 0.5076553821563721, 0.5106266140937805, 0.5109649300575256, 0.5107316970825195, 0.5074380040168762, 0.5071327686309814, 0.5106459856033325, 0.5102630257606506, 0.5099446177482605, 0.5114773511886597, 0.5079458355903625, 0.5066201686859131, 0.5105235576629639, 0.5113016963005066, 0.5106356739997864, 0.5105423927307129, 0.5089200139045715, 0.5092387795448303, 0.511081337928772]",pca,Pre-32
1,bernoulli,0,0.002,0.4236826141476368,0.6929125602851751,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5135151743888855, 0.5149186849594116, 0.5133715867996216, 0.5130656361579895, 0.5125806927680969, 0.5128364562988281, 0.5122197866439819, 0.5114679932594299, 0.5107650756835938, 0.5117010474205017, 0.5131166577339172, 0.5108540058135986, 0.5139972567558289, 0.5141226053237915, 0.5135378837585449, 0.5131251215934753, 0.5099799633026123, 0.5124485492706299, 0.5134884119033813, 0.5138713717460632, 0.5110746622085571, 0.513609766960144, 0.5138596296310425, 0.5112807750701904, 0.5131382346153259, 0.5140260457992554, 0.5137729048728943, 0.5139299631118774, 0.5138009786605835, 0.5149244666099548]",pca,Pre-32
