seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
43,beta,54,none,0.1,1.0,sae,none,,2,0.2671893560333926,0.5472488038277512,0.1825234483652659,0.9749470712773464
23,beta,54,none,0.1,1.0,sae,none,,2,0.2678692201888886,0.6376440460947503,0.1887026601755491,0.931974921630094
26,beta,54,none,0.1,1.0,sae,none,,2,0.3011359686914344,0.5893617021276596,0.2334415683238625,0.917239623121976
4,beta,54,none,0.1,1.0,sae,none,,8,0.3224549979778301,0.6859504132231405,0.2383918192990379,0.884961884961885
7,beta,54,none,0.1,1.0,sae,none,,7,0.3119005414101933,0.5519972451790633,0.2264278110165396,0.915014809751652
45,beta,54,none,0.1,1.0,sae,none,,3,0.31535156510834,0.4917247386759582,0.2625574083222741,0.9147342995169082
36,beta,54,none,0.1,1.0,sae,none,,2,0.3059819917210547,0.520320197044335,0.2338372339449328,0.8874032371569318
19,beta,54,none,0.1,1.0,sae,none,,2,0.2789563323716716,0.7546391752577319,0.1601227574102072,0.9483082706766918
22,beta,54,none,0.1,1.0,sae,none,,2,0.2992391688897212,0.5576131687242798,0.1688827608327879,0.965331278890601
17,beta,54,none,0.1,1.0,sae,none,,2,0.2798869828141759,0.6288448393711552,0.2498810977110674,0.9152460984393758
10,beta,54,none,0.1,1.0,sae,none,,2,0.3134617311766006,0.6876068376068376,0.299060195367876,0.9078947368421052
49,beta,54,none,0.1,1.0,sae,none,,2,0.2957745786983561,0.5943319838056681,0.2252849453413859,0.8794698674668666
14,beta,54,none,0.1,1.0,sae,none,,3,0.2937417577033583,0.6171875,0.2174587627759197,0.8920036764705883
24,beta,54,none,0.1,1.0,sae,none,,3,0.3199628573148049,0.6325842696629214,0.2242524836082672,0.904052734375
12,beta,54,none,0.1,1.0,sae,none,,6,0.2984041185333865,0.5219594594594594,0.2089520545281103,0.8805031446540881
3,beta,54,none,0.1,1.0,sae,none,,11,0.3334965182255603,0.5308823529411765,0.2162729927198694,0.906810035842294
11,beta,54,none,0.1,1.0,sae,none,,2,0.3177371350767166,0.4538961038961038,0.2391274077368529,0.8877076411960133
16,beta,54,none,0.1,1.0,sae,none,,2,0.2884097978301573,0.5071225071225071,0.2415409687508798,0.8495575221238938
31,beta,54,none,0.1,1.0,sae,none,,2,0.3274263141270171,0.6424185167690127,0.2228822982815849,0.9110576923076924
47,beta,54,none,0.1,1.0,sae,none,,2,0.3230885489174591,0.5262397688974483,0.214513611731764,0.915389527458493
9,beta,54,none,0.1,1.0,sae,none,,3,0.2843292078939973,0.5503432494279176,0.237564509816087,0.9110642146517938
27,beta,54,none,0.1,1.0,sae,none,,2,0.3414273035117957,0.601,0.2430766917681336,0.901261332282223
35,beta,54,none,0.1,1.0,sae,none,,2,0.2593781729584536,0.6313131313131313,0.1808569007852598,0.9025641025641026
33,beta,54,none,0.1,1.0,sae,none,,3,0.3351003618037195,0.5114795918367347,0.2098023547616558,0.9131016042780749
29,beta,54,none,0.1,1.0,sae,none,,2,0.305966918863469,0.6257739938080495,0.2331990863060555,0.9053944158308485
8,beta,54,none,0.1,1.0,sae,none,,7,0.3010519345500278,0.6558794466403162,0.2179319890788433,0.9475604195166438
39,beta,54,none,0.1,1.0,sae,none,,2,0.3140220056115143,0.4957142857142856,0.2335442123705378,0.9252243270189432
32,beta,54,none,0.1,1.0,sae,none,,3,0.3293352401123336,0.5026506024096387,0.1863885161860713,0.8905882352941177
30,beta,54,none,0.1,1.0,sae,none,,3,0.2746608072793211,0.7190283400809716,0.2359366603230067,0.9155525846702318
42,beta,54,none,0.1,1.0,sae,none,,2,0.3052804752058478,0.5824587706146926,0.2443595286323166,0.891645988420182
21,beta,54,none,0.1,1.0,sae,none,,2,0.2912607760543755,0.8018394648829431,0.2460934018329398,0.9161125319693092
