seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
38,bernoulli,54,none,0.9,1.0,sae,none,,2,0.410791468328156,0.6176670870113493,0.2816386716142655,0.9281042614599933
3,bernoulli,54,none,0.9,1.0,sae,none,,16,0.4335054874798829,0.5921557418261714,0.324894453754943,0.8940437361008154
9,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4460418650956168,0.5603417109650122,0.3156069325478587,0.9173870631370042
30,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4383649280381974,0.5581868121513643,0.2989084347786151,0.9220446780265936
0,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4414670446609607,0.5715697364486224,0.2990875987579314,0.9001511173442487
31,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4198601255925133,0.5938490766213099,0.3153764189628887,0.90350703325814
15,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4162428150473343,0.5644665283058883,0.2383829900195647,0.9561406658288952
34,bernoulli,54,none,0.9,1.0,sae,none,,2,0.434056610633219,0.5919134698204467,0.2898981798995175,0.9315808137364688
4,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4364039110229617,0.5633542956551806,0.3032686748383712,0.9066490382829046
14,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4619136753846818,0.5365268079931224,0.2944882976266478,0.9184513797871368
11,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4311449302995061,0.5761576816745656,0.295881743007354,0.9187729637757996
5,bernoulli,54,none,0.9,1.0,sae,none,,11,0.4356960161028282,0.5678844301046357,0.3057043518228965,0.8970146701124962
18,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4369978407036095,0.5635373458156401,0.3129635472277062,0.9008034691539848
2,bernoulli,54,none,0.9,1.0,sae,none,,12,0.4332771520080354,0.5327460257037722,0.2643267798806989,0.9366802582398914
44,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4132294461930739,0.6106182854397764,0.2957956116540388,0.9161048689138578
1,bernoulli,54,none,0.9,1.0,sae,none,,12,0.44939153914065,0.5444341285820093,0.2956393527121562,0.914024738344434
13,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4335758789778565,0.5937407273960409,0.3102071571370497,0.9068219958630918
46,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4260150547467991,0.5803741250760803,0.2927315960098842,0.9136288250788592
32,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4098296363660459,0.591395916974833,0.2982568828407301,0.9206499431087102
43,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4370782045051951,0.5553970403327209,0.2453572666724061,0.9572649572649572
23,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4206982908971775,0.5824972248313552,0.2853443753214021,0.9188747839561356
22,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4443273522522248,0.5682718393205602,0.3043592837073227,0.9026284692280668
39,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4314670127291602,0.5913467980655615,0.3120491948552709,0.9055750531264088
8,bernoulli,54,none,0.9,1.0,sae,none,,6,0.4176761815388268,0.5876188853873889,0.2986219854494114,0.914190842825204
10,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4241349125138578,0.5715128359097261,0.3049265828259108,0.9076589736098938
7,bernoulli,54,none,0.9,1.0,sae,none,,13,0.4270564764774039,0.6150528502833459,0.3027059480179762,0.9125144766265858
19,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4256779606676817,0.5810256074327607,0.3054768534412346,0.9154703776041666
6,bernoulli,54,none,0.9,1.0,sae,none,,11,0.4335744355169947,0.5872430612007896,0.2945378563339861,0.92038782825651
38,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4160037509137016,0.598984867591425,0.2759822010671038,0.9388427054735348
27,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4302057089121329,0.5846430401053864,0.3118547453638683,0.8968917094247907
12,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4168275959451819,0.6197373323397913,0.3328861114869204,0.8788187743509449
36,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4347414686924497,0.6169216198147145,0.3217648979871235,0.8937806627583643
21,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4167359254813985,0.6004869534971832,0.2921530749190991,0.9207194403650892
3,bernoulli,54,none,0.9,1.0,sae,none,,17,0.4359341939165,0.5916116234700975,0.3296593034808787,0.8886026686434394
25,bernoulli,54,none,0.9,1.0,sae,none,,2,0.3920568354906029,0.5707491283301175,0.2423057190711537,0.9617857142857142
42,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4103425102560867,0.5993741487774824,0.3023708252525958,0.9121214129498312
35,bernoulli,54,none,0.9,1.0,sae,none,,2,0.428849808222401,0.5727753056902289,0.2834373294951778,0.9248021318060692
26,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4396474451014038,0.5377712562597599,0.3037188857041256,0.9080073505912432
45,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4401351383604898,0.5747603976783459,0.3136702797589052,0.9098869233788764
30,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4390831470725609,0.5673337856173677,0.2954564208066217,0.9276566342408216
9,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4424959589617419,0.5601241246334506,0.3128605669802209,0.9174804997738836
40,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4163246976711701,0.6074709999442305,0.2905481154765896,0.927250043801618
20,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4298533379703249,0.537859146926164,0.2668953837978845,0.9437739729270817
47,bernoulli,54,none,0.9,1.0,sae,none,,2,0.438029513762558,0.5552813113094108,0.3095917438585706,0.9077220077220076
24,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4275186072867659,0.5736523358191956,0.3023699012309113,0.911968777103209
28,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4353502282951793,0.5447504734321043,0.3061153991894656,0.8999034216335541
37,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4100987893681306,0.5742276675356954,0.2882638285058466,0.925245806824754
31,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4227083769858262,0.5852536978324966,0.3119945133342715,0.9032805091757984
15,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4161091730666572,0.5794072200087865,0.240975701535697,0.9569465222508128
34,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4303213819197992,0.6099880739415623,0.2879169291639074,0.9336207540126912
0,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4414777950943436,0.5975348129656356,0.2979308726296036,0.903901871572001
14,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4576852960248278,0.5481642238577509,0.2953234710875632,0.9194128942694292
33,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4133169371515136,0.6076509172901506,0.3071943374097929,0.902921009026294
17,bernoulli,54,none,0.9,1.0,sae,none,,2,0.43769825121988,0.5466490391863525,0.3101508896794489,0.9020699418426692
11,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4274717247407184,0.6061734794628751,0.2945431937065119,0.9199155015247537
4,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4374046732727006,0.5702102715377052,0.3030215839080764,0.9149843326191154
2,bernoulli,54,none,0.9,1.0,sae,none,,13,0.4318490194187866,0.571531289841149,0.2605035096644145,0.9396058443764864
18,bernoulli,54,none,0.9,1.0,sae,none,,3,0.435468863441718,0.5477841719541586,0.3170669392313145,0.8927016854851907
