study,study_group,artifact_path,araf_rows,araf_seeds,baseline_missing
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-64_d-0p2_989ea90f18da.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-64_d-0p5_bf4dc498907c.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_j0.1_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_j0.3_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_j0.5_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_j0.7_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_bernoulli_u32_n_max_j0.9_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_j0.1_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_j0.3_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_j0.5_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_j0.7_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_pca_beta_u32_n_max_j0.9_bpca_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max_j0.1.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max_j0.3.csv,3,3,0
