seed,model_type,n_samples,pre_revision,j_percentage,mirt_dim,rmse_mirt,auc_mirt,baseline_embedding_type
42,bernoulli,32,none,1.0,4,0.2580715958259622,0.5729359782474355,pca
24,bernoulli,32,none,1.0,4,0.2838311958934369,0.5881276901004304,pca
20,bernoulli,32,none,1.0,4,0.2697225665681092,0.5846223243476651,pca
48,bernoulli,32,none,1.0,4,0.2596625647066818,0.6126944202992362,pca
12,bernoulli,32,none,1.0,4,0.2694212371105369,0.5603537360890302,pca
40,bernoulli,32,none,1.0,4,0.279612955889564,0.6052287581699347,pca
26,bernoulli,32,none,1.0,4,0.2704035423740163,0.5954089529437778,pca
32,bernoulli,32,none,1.0,4,0.2664876701578463,0.5743145743145743,pca
36,bernoulli,32,none,1.0,4,0.2649740208181296,0.6168736465284838,pca
16,bernoulli,32,none,1.0,4,0.2780968287484325,0.535686732417273,pca
44,bernoulli,32,none,1.0,4,0.2620903337955761,0.5451309615834037,pca
0,bernoulli,32,none,1.0,4,0.2849840532618217,0.5446164072773515,pca
8,bernoulli,32,none,1.0,4,0.2670670940745898,0.5287551646008263,pca
15,bernoulli,32,none,1.0,4,0.278934069723294,0.5483995168352711,pca
4,bernoulli,32,none,1.0,5,0.2669374076273264,0.5767225412834043,pca
14,bernoulli,32,none,1.0,4,0.2787708317024678,0.5579818709877215,pca
46,bernoulli,32,none,1.0,4,0.2727509872329495,0.5832045454545454,pca
28,bernoulli,32,none,1.0,4,0.2891775881567271,0.5767012905256531,pca
17,bernoulli,32,none,1.0,4,0.2684860002936601,0.568593171534348,pca
35,bernoulli,32,none,1.0,4,0.2652011743814406,0.6054420259306101,pca
3,bernoulli,32,none,1.0,4,0.2656164027674008,0.5827523377855411,pca
43,bernoulli,32,none,1.0,4,0.278887655669492,0.5613839729568503,pca
18,bernoulli,32,none,1.0,4,0.2572893701803497,0.6143689986282579,pca
39,bernoulli,32,none,1.0,4,0.2878639141512338,0.5629306654514824,pca
37,bernoulli,32,none,1.0,4,0.2681136098411973,0.5610486729177043,pca
