seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
3,bernoulli,1,max,1.0,raw,17,0.4366570594631034,0.6551297503382117,0.3632303632966833,0.8897525005770028
42,bernoulli,1,max,1.0,raw,17,0.4384412687578768,0.6632945437393882,0.3588634872702511,0.8928233430319847
31,bernoulli,1,max,1.0,raw,17,0.4223650276280279,0.7010150282833975,0.3559038412910429,0.8969775126774027
25,bernoulli,1,max,1.0,raw,16,0.4367549546849978,0.6114460360879164,0.3536109795715382,0.8983617570426274
41,bernoulli,1,max,1.0,raw,16,0.4383478804206273,0.63876761643353,0.3648112901383598,0.8872299200688297
47,bernoulli,1,max,1.0,raw,17,0.4265286247021143,0.6686332609845824,0.3620418407420596,0.891129972872566
24,bernoulli,1,max,1.0,raw,16,0.4341834585941542,0.6405035683273634,0.3653141689343995,0.8859813662673723
22,bernoulli,1,max,1.0,raw,17,0.439936681249989,0.6171435519169977,0.3659672040472634,0.886184443399204
38,bernoulli,1,max,1.0,raw,17,0.4296148585559035,0.6581008057807199,0.3643433212263354,0.8883274537642676
46,bernoulli,1,max,1.0,raw,17,0.4341675853200896,0.6762357225605085,0.3620488788064771,0.8880958272488699
33,bernoulli,1,max,1.0,raw,16,0.4349527455017953,0.6249533991892605,0.3553962004688156,0.8961750501302576
37,bernoulli,1,max,1.0,raw,16,0.4360293295066225,0.643869543451109,0.366332072250763,0.8823820759774573
2,bernoulli,1,max,1.0,raw,17,0.4284062269387366,0.6399888298645557,0.361880586314196,0.8907787000139131
29,bernoulli,1,max,1.0,raw,16,0.4332691902438499,0.6586602775282021,0.3619332067096327,0.8898160436674225
15,bernoulli,1,max,1.0,raw,17,0.4392980513878338,0.629697266757318,0.3612411600569087,0.8894275145663485
48,bernoulli,1,max,1.0,raw,16,0.4458536407117996,0.6053066742351816,0.3545466609747574,0.8975824933406369
