seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
8,beta,1,8,0.3,raw,4,0.4385091688780833,0.6298773690078037,0.3315732939254827,0.8985260770975056
32,beta,1,8,0.3,raw,3,0.4320223057184905,0.5886363636363636,0.4854264076903651,0.5401234567901235
19,beta,1,8,0.3,raw,3,0.4224125475071509,0.5714285714285714,0.4335041984664985,0.7777777777777778
41,beta,1,8,0.3,raw,4,0.4462848053777145,0.678918918918919,0.4630202260851945,0.522257053291536
18,beta,1,8,0.3,raw,6,0.4458230755716251,0.4583333333333333,0.3885322971935852,0.822159090909091
47,beta,1,8,0.3,raw,2,0.4641504647470925,0.5705128205128205,0.4680586803299272,0.5125364431486881
27,beta,1,8,0.3,raw,3,0.4608162380994565,0.5679824561403508,0.51330660753016,0.578088578088578
45,beta,1,8,0.3,raw,3,0.4427511942441871,0.5473465140478667,0.4026201835528992,0.7119318181818182
23,beta,1,8,0.3,raw,3,0.4492206905157221,0.6231884057971014,0.4821535669378594,0.5660805445263755
44,beta,1,8,0.3,raw,4,0.4651052717029847,0.6502100840336134,0.4632291722739085,0.5897727272727273
11,beta,1,8,0.3,raw,3,0.4538844091836868,0.5446428571428572,0.3937283456993872,0.7733910221741481
10,beta,1,8,0.3,raw,2,0.4618381332994434,0.5657894736842105,0.3960753336881852,0.8028490028490028
39,beta,1,8,0.3,raw,4,0.4704065615354497,0.4995112414467253,0.4423170735606648,0.5691056910569107
36,beta,1,8,0.3,raw,4,0.4780443790505914,0.5492063492063493,0.4450169971520317,0.6394479585968948
13,beta,1,8,0.3,raw,3,0.4351890188648388,0.6341463414634146,0.4093213257291706,0.7487980769230769
14,beta,1,8,0.3,raw,3,0.485984389689215,0.6176470588235294,0.4228829422863703,0.768270944741533
49,beta,1,8,0.3,raw,3,0.463269316212406,0.6614583333333334,0.3804955334019008,0.8320699708454811
37,beta,1,8,0.3,raw,4,0.455051978019093,0.6804232804232804,0.3749304150552461,0.8735697940503433
