seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
40,beta,1,max,1.0,0.05,raw,4,0.4350966448685858,0.6180282578770266,0.4108497932159657,0.7541772868875672
47,beta,1,max,1.0,0.05,raw,4,0.4339958594559778,0.600633915972373,0.4356296785615106,0.7437892437892438
44,beta,1,max,1.0,0.05,raw,4,0.4444456363287812,0.5644093247171862,0.438805896127438,0.6666666666666666
36,beta,1,max,1.0,0.05,raw,4,0.4611770524644386,0.5714901256732495,0.4377662665864876,0.6691297208538588
48,beta,1,max,1.0,0.05,raw,5,0.4515169648703944,0.5793237631453154,0.4041132855639305,0.7595398428731762
14,beta,1,max,1.0,0.05,raw,5,0.4418821217180194,0.5816810255832724,0.4585507556315493,0.6261479591836735
49,beta,1,max,1.0,0.05,raw,4,0.456102438148375,0.5939708302144372,0.4268323889894079,0.6602511602511603
15,beta,1,max,1.0,0.05,raw,5,0.4471881249594703,0.5878059482022578,0.445416421643372,0.6309836065573771
10,beta,1,max,1.0,0.05,raw,5,0.4449681573629836,0.5713230365624257,0.437367828022519,0.7098669965975872
17,beta,1,max,1.0,0.05,raw,5,0.4568781800165933,0.5467722908093279,0.4238468640663138,0.7076023391812866
19,beta,1,max,1.0,0.05,raw,5,0.4391817229686141,0.6058521850545575,0.4304814373161333,0.7171918627842042
6,beta,1,max,1.0,0.05,raw,5,0.4511355265718141,0.5600444406092246,0.4351110458865234,0.7408256880733944
35,beta,1,max,1.0,0.05,raw,5,0.4489274282800726,0.5680971612066685,0.4224226187771231,0.7158730158730159
1,beta,1,max,1.0,0.05,raw,5,0.4516561806993531,0.5444360617423464,0.4323039072287702,0.6212557603686636
9,beta,1,max,1.0,0.05,raw,5,0.4387744664709127,0.6400738517363985,0.4208714947850523,0.7070707070707071
37,beta,1,max,1.0,0.05,raw,5,0.4489913696678808,0.5894111468945799,0.4250726315199992,0.727258566978193
2,beta,1,max,1.0,0.05,raw,5,0.439054079076848,0.6044452293575642,0.4366387165960902,0.7528178243774574
7,beta,1,max,1.0,0.05,raw,5,0.4656386271025194,0.5432487551692851,0.4548594395491128,0.7334291876347951
25,beta,1,max,1.0,0.05,raw,5,0.4414185547590549,0.5845803040119013,0.4287458331736953,0.7357277882797731
21,beta,1,max,1.0,0.05,raw,5,0.4444334656713741,0.5981328135974153,0.4418388205127213,0.6436041834271923
13,beta,1,max,1.0,0.05,raw,5,0.4556557260103079,0.5565348446206227,0.427498617476743,0.6573849878934624
43,beta,1,max,1.0,0.05,raw,5,0.4497170214211247,0.5581732791016105,0.4379977222050266,0.7683818641138146
39,beta,1,max,1.0,0.05,raw,5,0.4375867927835631,0.5850288651923948,0.4262039466209756,0.7410964977094725
38,beta,1,max,1.0,0.05,raw,5,0.4563289691569144,0.5353406910911083,0.4551059730751798,0.6548165137614679
3,beta,1,max,1.0,0.05,raw,5,0.4471698975047636,0.5953351371295044,0.4240068858538953,0.7079051383399209
8,beta,1,max,1.0,0.05,raw,6,0.4397783898259417,0.6172038441422594,0.4302340586023672,0.6920454545454546
28,beta,1,max,1.0,0.05,raw,4,0.4535137022045029,0.5622136661314244,0.4501224218843969,0.6317307692307692
12,beta,1,max,1.0,0.05,raw,5,0.4480194003553726,0.5305929776174818,0.4397367113414129,0.6479862215156333
11,beta,1,max,1.0,0.05,raw,5,0.4542031943508734,0.5483192971284567,0.4291377799333744,0.7425526450950181
30,beta,1,max,1.0,0.05,raw,5,0.4598948437286593,0.5743483726886556,0.4419444187730283,0.6994095544820182
34,beta,1,max,1.0,0.05,raw,5,0.4422435078012305,0.6238927350323722,0.4372679571866859,0.6351239669421488
0,beta,1,max,1.0,0.05,raw,17,0.4535232963866042,0.5698714021173982,0.4321745077953801,0.6838747960243287
31,beta,1,max,1.0,0.05,raw,5,0.4358716703090275,0.6475203908990117,0.4279760087544236,0.7181782282479927
26,beta,1,max,1.0,0.05,raw,5,0.4464332464518311,0.595373136310855,0.4201252999047863,0.6932653367331634
16,beta,1,max,1.0,0.05,raw,4,0.4455404367505137,0.5971963124163764,0.4398835850187089,0.719059405940594
20,beta,1,max,1.0,0.05,raw,5,0.4302744411295763,0.6013411020436961,0.4212359604066514,0.7331932773109243
33,beta,1,max,1.0,0.05,raw,6,0.4440785259761632,0.5797045852576983,0.4350815926412089,0.7219864176570457
23,beta,1,max,1.0,0.05,raw,6,0.4599510888343162,0.4984164271519701,0.4700073069400128,0.6864106753812638
5,beta,1,max,1.0,0.05,raw,6,0.4379785849221952,0.5771313928110028,0.4475870601583177,0.6711309523809523
46,beta,1,max,1.0,0.05,raw,5,0.4433850016308752,0.6302158131318933,0.4416977586538643,0.6555010893246188
27,beta,1,max,1.0,0.05,raw,5,0.4583321665257716,0.5859893969920269,0.4148236242897397,0.7140532544378697
18,beta,1,max,1.0,0.05,raw,6,0.450506471026451,0.6044685986596063,0.4173726617473992,0.7965545529122232
22,beta,1,max,1.0,0.05,raw,5,0.4477410933430329,0.5962495286360223,0.4289649436827943,0.7608695652173914
29,beta,1,max,1.0,0.05,raw,6,0.4501977783929975,0.5582860652043041,0.4339922371194224,0.649537037037037
4,beta,1,max,1.0,0.05,raw,5,0.4510161886735357,0.6091167825798973,0.4260335227386913,0.7148452800626715
