item,assigned_skill,max_loading
124,0,0.029416721527218147
125,17,0.028531561033093546
126,0,0.07993530616527451
127,2,0.06985047208000268
128,18,0.05146181485592456
129,2,0.05365305451095752
130,0,0.032453221865687415
131,2,0.034847354486675884
132,0,0.04213278777022979
133,0,0.02357851334733136
134,18,0.030722868866358784
135,0,0.0620053976828861
136,18,0.04714178721709634
137,2,0.037552969139304455
138,16,0.0892114920508166
139,18,0.044375667782805835
140,16,0.05133201906172157
141,0,0.03331485995692254
142,5,0.01933873181522562
143,18,0.04129148168359771
144,16,0.02805799244231767
145,16,0.047608575882611415
146,2,0.02045114742248504
147,16,0.07818161215238896
148,18,0.048018693718854956
149,2,0.06821901424641683
150,2,0.05018586429890811
151,2,0.0355628081993146
152,16,0.04097094472708134
153,0,0.01627061830201632
154,16,0.05150588670296124
155,18,0.04885641818304962
156,2,0.03811687733773026
157,18,0.04627910718003962
158,0,0.055930107985671065
159,2,0.07317629383441988
160,16,0.027858307417338714
161,0,0.07774165624337838
162,2,0.057090619600078774
163,18,0.03180432365532303
164,0,0.031912309186929826
165,2,0.0442671999092819
166,0,0.0744414924480157
167,2,0.06414352508921267
168,2,0.05380392519892151
169,2,0.06862349118387108
170,17,0.0272223834631676
171,2,0.048528936922800504
172,0,0.0391746541019529
173,16,0.0460436184221089
174,2,0.029101818572540523
175,16,0.09408389243872017
176,16,0.07170995231745438
177,2,0.0524428283683314
178,18,0.04244216340122782
179,16,0.02816209977761107
180,0,0.03167191335823845
181,16,0.04507430953737245
182,2,0.047963683861695174
183,18,0.03611031673200839
184,2,0.04559744567693275
185,2,0.06264019842652085
186,18,0.0748115240388878
187,2,0.04478860183557202
188,0,0.04593310184983399
189,2,0.02851131064827303
190,2,0.042499208661250794
191,0,0.052589674628137906
192,0,0.020103144730316862
193,16,0.029223289126571742
194,0,0.05565426909391393
195,16,0.02394619453751449
196,16,0.053816051522641344
197,0,0.03181495689030795
198,2,0.05933772730313747
199,0,0.026025030807913515
200,5,0.025077214933398814
201,2,0.03968612539422349
202,2,0.050812225538917205
203,16,0.03544611597398943
204,16,0.04474596284732157
205,0,0.06367708920758357
206,2,0.02144189943009784
207,2,0.038616778278619854
208,18,0.03570560875577946
209,2,0.0742506925971213
210,2,0.05116522097563046
211,0,0.03160953380427841
212,16,0.09220611513598845
213,18,0.03841316490129496
214,0,0.07221164058629433
215,0,0.04971168954198581
216,0,0.04379434420827699
217,0,0.05039444140674273
218,16,0.027159602270254664
219,2,0.06931537850139352
220,0,0.0859740552550123
221,2,0.04732944597573591
222,0,0.03974339710490269
223,18,0.05271724140233117
224,16,0.06570326343350184
225,0,0.04891244539872446
226,0,0.049022206794029716
227,16,0.023990775382996692
228,2,0.045169668184758406
229,18,0.04990878926634316
230,0,0.03346121389117367
231,18,0.029190746526474076
232,17,0.029651503366090445
233,5,0.02359143966099335
234,2,0.04232167459445478
235,16,0.08084483516442346
236,2,0.05129035185749097
237,2,0.0403983229061868
238,16,0.023917488738301795
239,2,0.06762495529064505
240,0,0.054020306171940854
241,2,0.03860921140373479
