n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,29,0.002,4180,0.2753462654261236,0.6878826340152306,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.90756756067276, 0.8805615305900574, 0.9521414637565613, 0.9108160138130188, 0.9363055229187012, 0.9238175749778748, 0.9398891925811768, 1.0237208604812622, 0.8881812691688538, 0.8902997970581055, 0.9707592129707336, 0.9882937669754028, 0.9618405103683472, 0.9085257649421692, 0.9074847102165222, 0.9149447083473206, 0.9779091477394104, 0.901538610458374, 0.9709237813949585, 0.9866967797279358, 0.9354662895202637, 0.8858457803726196, 0.9415608644485474, 0.8805766701698303, 0.9045984148979187, 0.939030110836029, 0.9053656458854675, 0.9367976784706116, 0.904257595539093, 0.9069651365280151]",raw,32
54,beta,30,0.01,4060,0.2401516314417956,0.7275409065491,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6701582670211792, 0.690357506275177, 0.7401877045631409, 0.682981550693512, 0.7815496921539307, 0.716507613658905, 0.8442967534065247, 0.6615678071975708, 0.6630488038063049, 0.774409294128418, 0.8376415371894836, 0.70307457447052, 0.7179147005081177, 0.7125712633132935, 0.7196203470230103, 0.7622504234313965, 0.6696268916130066, 0.7473169565200806, 0.8363674283027649, 0.6997619271278381, 0.8659224510192871, 0.7448078989982605, 0.7169250249862671, 0.6883584856987, 0.6739952564239502, 0.6855427026748657, 0.729680597782135, 0.7292962670326233, 0.7005386352539062, 0.7207832336425781]",raw,32
54,beta,46,0.006,4093,0.2552518693937692,0.7179924242424243,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7958075404167175, 0.8022781610488892, 0.9748258590698242, 0.8406794667243958, 0.8525179028511047, 0.9210737347602844, 0.9713128209114075, 0.8152846693992615, 0.7907088398933411, 0.8311613202095032, 0.8479431867599487, 0.8062113523483276, 0.8467226028442383, 0.9338093400001526, 0.8920444250106812, 0.8465592265129089, 0.8287018537521362, 0.8358885645866394, 0.9803932905197144, 0.9341946244239807, 0.930465042591095, 0.7937525510787964, 0.8401133418083191, 0.8212602734565735, 0.8575994372367859, 0.8356798887252808, 0.9881532192230225, 0.8395967483520508, 0.8391004204750061, 0.93843013048172]",raw,32
54,beta,40,0.005,4176,0.2483022831673569,0.7428467000835421,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8047457933425903, 0.773414671421051, 0.785863995552063, 0.7857204079627991, 0.808100163936615, 0.8164615631103516, 0.9651491641998291, 0.9100249409675598, 0.9075692892074585, 0.8179833292961121, 0.784209668636322, 0.8038529753684998, 0.8837053775787354, 0.8061760067939758, 0.9769642949104309, 0.7971658110618591, 0.7910345792770386, 0.8427985906600952, 0.9132009744644165, 0.8505913615226746, 0.8371198773384094, 0.8606321215629578, 0.7987512946128845, 0.8364557027816772, 0.8464130759239197, 0.9580445289611816, 0.8545849323272705, 0.7618309855461121, 0.9061420559883118, 0.7956503033638]",raw,32
54,beta,8,0.012,4125,0.2725870941033487,0.6251617124418207,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6419013738632202, 0.6720070242881775, 0.5536097884178162, 0.7397927641868591, 0.6562531590461731, 0.6604723334312439, 0.5798114538192749, 0.6512920260429382, 0.5683522820472717, 0.6501651406288147, 0.6037889719009399, 0.6660336256027222, 0.6798199415206909, 0.5666517615318298, 0.7012652158737183, 0.6194323897361755, 0.6970756649971008, 0.6512997150421143, 0.7043533325195312, 0.7500995397567749, 0.6471092700958252, 0.6792306303977966, 0.6807762980461121, 0.6540716886520386, 0.6867636442184448, 0.6492989659309387, 0.6163898706436157, 0.5742433071136475, 0.6450906991958618, 0.646149218082428]",raw,32
54,beta,4,0.0155,4246,0.2682978841415958,0.6566512583461735,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.576790452003479, 0.5728930234909058, 0.6626829504966736, 0.6025145053863525, 0.6871415972709656, 0.6650770306587219, 0.5711055397987366, 0.5821107625961304, 0.5782700181007385, 0.5929965972900391, 0.6769356727600098, 0.5902485847473145, 0.6982095241546631, 0.6194807887077332, 0.5341607332229614, 0.6314669251441956, 0.6215799450874329, 0.585482120513916, 0.5458558797836304, 0.5718778371810913, 0.5857577323913574, 0.5730524659156799, 0.5923082828521729, 0.5109003186225891, 0.6992999315261841, 0.5064723491668701, 0.6025629639625549, 0.6064510941505432, 0.5903685092926025, 0.567034900188446]",raw,32
54,beta,14,0.002,4097,0.2562081820396075,0.6837717719728483,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.0672719478607178, 0.9353533983230591, 0.9213147163391113, 1.0297935009002686, 0.925896942615509, 0.9305151104927063, 1.039131760597229, 0.9995902180671692, 1.079401969909668, 1.0084365606307983, 1.0342047214508057, 0.9933428168296814, 1.1740838289260864, 1.105247974395752, 1.0540244579315186, 1.0015501976013184, 1.0114988088607788, 1.013222575187683, 0.9903576970100403, 1.009881854057312, 0.9289833903312683, 0.9818617701530457, 1.1266157627105713, 0.9583261609077454, 0.949476420879364, 0.9393910765647888, 0.9912554025650024, 0.9972236752510071, 1.0170401334762573, 1.0802912712097168]",raw,32
54,beta,10,0.0159,4217,0.2524621242971619,0.7294637551990494,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5863214731216431, 0.4487788677215576, 0.6428999900817871, 0.6141257286071777, 0.5451869368553162, 0.43205857276916504, 0.6161122918128967, 0.4573829770088196, 0.4795559346675873, 0.45378896594047546, 0.45343518257141113, 0.5600663423538208, 0.44303929805755615, 0.48685383796691895, 0.5558267831802368, 0.5481611490249634, 0.4747619926929474, 0.431312620639801, 0.5046876072883606, 0.4800276756286621, 0.6273052096366882, 0.5674512386322021, 0.4643584191799164, 0.6157426834106445, 0.4469377100467682, 0.522435188293457, 0.49060437083244324, 0.47138047218322754, 0.5848384499549866, 0.47337809205055237]",raw,32
54,beta,16,0.016,4141,0.2423882421581613,0.7633587257617729,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.44046157598495483, 0.45094290375709534, 0.46749934554100037, 0.5580001473426819, 0.5036248564720154, 0.5899589657783508, 0.46731215715408325, 0.48333707451820374, 0.44593197107315063, 0.4547788202762604, 0.4440918564796448, 0.6387932896614075, 0.66130131483078, 0.5132597088813782, 0.5627788305282593, 0.4686771333217621, 0.45557111501693726, 0.504828155040741, 0.43791523575782776, 0.46596965193748474, 0.5109177231788635, 0.45069435238838196, 0.45737016201019287, 0.46111056208610535, 0.506669819355011, 0.614392876625061, 0.48580020666122437, 0.45775744318962097, 0.44506311416625977, 0.508043646812439]",raw,32
54,beta,24,0.008,4143,0.2759714157153715,0.7139586322333812,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8171638250350952, 0.853206217288971, 0.7715115547180176, 0.8045569062232971, 0.8167670369148254, 0.8190058469772339, 0.7718103528022766, 0.7324074506759644, 0.740070641040802, 0.8323296308517456, 0.7844789624214172, 0.7468805313110352, 0.7988966703414917, 0.8241065144538879, 0.8309288620948792, 0.7938700914382935, 0.8439919948577881, 0.7229825854301453, 0.7946515679359436, 0.8061148524284363, 0.8222150802612305, 0.7785171270370483, 0.7203731536865234, 0.7446883320808411, 0.808675229549408, 0.7764585018157959, 0.810390293598175, 0.739757239818573, 0.8707918524742126, 0.7514016032218933]",raw,32
