seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
8,bernoulli,1,64,1.0,1.0,raw,2,0.4284356521633375,0.5700460556518133,0.2137026916262993,0.9737419354838708
15,bernoulli,1,64,1.0,1.0,raw,3,0.4091063003462382,0.5575520477945078,0.2490026427917717,0.957306704294656
18,bernoulli,1,64,1.0,1.0,raw,3,0.3984987361449968,0.6116361272498273,0.2044263473222121,0.9728318034040926
16,bernoulli,1,64,1.0,1.0,raw,2,0.4189540266362261,0.5625916581524497,0.2138289325937192,0.969994969410772
41,bernoulli,1,64,1.0,1.0,raw,2,0.3892939587628729,0.5700209998308071,0.2072196319312788,0.966916614321608
43,bernoulli,1,64,1.0,1.0,raw,2,0.4300423977154523,0.54877708175398,0.1960344798726409,0.9807695447717326
13,bernoulli,1,64,1.0,1.0,raw,2,0.4251630126852684,0.5578235748365924,0.2139824334648772,0.9722383868801758
19,bernoulli,1,64,1.0,1.0,raw,3,0.390467993654249,0.6136123068237951,0.2120743861415846,0.9750384938965346
6,bernoulli,1,64,1.0,1.0,raw,3,0.4259890477984416,0.5463167587476979,0.2082032373653488,0.9733729262785904
48,bernoulli,1,64,1.0,1.0,raw,2,0.3872187878434205,0.6081355994895601,0.2063636993800824,0.9767351855142864
27,bernoulli,1,64,1.0,1.0,raw,3,0.4215392966986064,0.545319553338085,0.2079329467867714,0.9723629032258064
3,bernoulli,1,64,1.0,1.0,raw,3,0.4064215517958289,0.6220316523362798,0.2214773321629847,0.9710553927421398
14,bernoulli,1,64,1.0,1.0,raw,3,0.4045188773433836,0.5761778417603388,0.2015314129949861,0.9780097263903264
35,bernoulli,1,64,1.0,1.0,raw,2,0.4045779039304764,0.6170020782947628,0.2071467383378139,0.9715885240078788
22,bernoulli,1,64,1.0,1.0,raw,2,0.4207132201900631,0.5651018809835666,0.2296235459359012,0.9657501323882848
28,bernoulli,1,64,1.0,1.0,raw,2,0.4292180357747615,0.5997293043751968,0.2289937633228394,0.9618139014191168
37,bernoulli,1,64,1.0,1.0,raw,2,0.4102633200266631,0.5745540902430397,0.2248987241479398,0.9656416458035892
26,bernoulli,1,64,1.0,1.0,raw,3,0.4288936564502247,0.5544334776645241,0.2170119292912488,0.9622469347020244
20,bernoulli,1,64,1.0,1.0,raw,3,0.4071517070517111,0.5860295478378879,0.2096544290691816,0.9763784597307064
33,bernoulli,1,64,1.0,1.0,raw,2,0.4251864241799927,0.577397418165053,0.2116038341375634,0.9717124455542356
11,bernoulli,1,64,1.0,1.0,raw,3,0.4097513652753166,0.5628635642517186,0.2131068243040083,0.9717015402499274
12,bernoulli,1,64,1.0,1.0,raw,2,0.4092554463832158,0.5912003179650239,0.2241451441673899,0.9678038038038038
2,bernoulli,1,64,1.0,1.0,raw,2,0.4088716098279827,0.549285239361702,0.2115067113460826,0.9675280822547324
29,bernoulli,1,64,1.0,1.0,raw,2,0.4094560368242757,0.605199363464656,0.2197467370838,0.9675769428884168
47,bernoulli,1,64,1.0,1.0,raw,2,0.3964093141959866,0.5694932978420002,0.2443846589201581,0.950140183971774
31,bernoulli,1,64,1.0,1.0,raw,3,0.3944376843989531,0.5792334922699032,0.2137604799964069,0.9710224296395068
42,bernoulli,1,64,1.0,1.0,raw,3,0.4044080387928114,0.5788762204919046,0.2419550841846167,0.9558634940161044
23,bernoulli,1,64,1.0,1.0,raw,3,0.4169460512318502,0.5460796122630416,0.2238620599183774,0.9634551225990348
5,bernoulli,1,64,1.0,1.0,raw,2,0.4097140335173485,0.5828736595913684,0.1995365002328992,0.975712546562749
4,bernoulli,1,64,1.0,1.0,raw,2,0.414662088968138,0.5861037182300665,0.2228732808100813,0.9682245465377995
17,bernoulli,1,64,1.0,1.0,raw,2,0.4108211577463808,0.5716138244550647,0.2119454830801329,0.968857068976663
10,bernoulli,1,64,1.0,1.0,raw,3,0.4084089390021612,0.5866495840760547,0.2396569251288369,0.959750826955115
7,bernoulli,1,64,1.0,1.0,raw,4,0.4040741053343284,0.5394505810241349,0.2039759125957606,0.9670994735915774
24,bernoulli,1,64,1.0,1.0,raw,2,0.4417122143375599,0.5640722142515542,0.2197555607628108,0.9657952378176246
46,bernoulli,1,64,1.0,1.0,raw,3,0.4071346334712001,0.5737424242424243,0.2077861912645121,0.9695777096361398
30,bernoulli,1,64,1.0,1.0,raw,2,0.4020692759446477,0.604112131354799,0.2070805742779099,0.97374749498998
34,bernoulli,1,64,1.0,1.0,raw,3,0.4060923563928532,0.5418988648090814,0.2174984774179987,0.9691773733900112
38,bernoulli,1,64,1.0,1.0,raw,3,0.4105812414069694,0.5695875707488669,0.2241583483613855,0.9684206922110148
39,bernoulli,1,64,1.0,1.0,raw,2,0.426071418090261,0.5955155901697994,0.1998170209342766,0.9724744134942114
0,bernoulli,1,64,1.0,1.0,raw,4,0.4276614889117391,0.5435542838976315,0.2129812572638094,0.9756156935935408
15,bernoulli,1,64,1.0,1.0,raw,4,0.4102059833710513,0.5546027991326631,0.244962483861827,0.9556866103050844
1,bernoulli,1,64,1.0,1.0,raw,3,0.4281625912166598,0.561858588718239,0.2156830346748715,0.9722978006672496
18,bernoulli,1,64,1.0,1.0,raw,4,0.3995208597454579,0.5980985657985617,0.2083859029645202,0.9750191241155096
16,bernoulli,1,64,1.0,1.0,raw,3,0.4246126815260067,0.5751579474134156,0.206745454270047,0.9713337552537202
8,bernoulli,1,64,1.0,1.0,raw,3,0.4151611866512112,0.568557762080353,0.2134728912149512,0.9728225806451613
41,bernoulli,1,64,1.0,1.0,raw,3,0.3881600042888986,0.582700518526628,0.2052753680689193,0.9725463253768843
43,bernoulli,1,64,1.0,1.0,raw,3,0.4270435834234876,0.5608533163095666,0.2094065510762311,0.9776998563124552
40,bernoulli,1,64,1.0,1.0,raw,2,0.4066959098003848,0.5930225511838288,0.2203326111265048,0.9692635217906684
19,bernoulli,1,64,1.0,1.0,raw,4,0.390343812827213,0.610877849128502,0.21422213880723,0.9736733495245804
45,bernoulli,1,64,1.0,1.0,raw,2,0.4220860977433794,0.5950802306877476,0.2238460673385743,0.9662028402211968
6,bernoulli,1,64,1.0,1.0,raw,4,0.4303238751273018,0.5513746382530913,0.211046526248209,0.9723258401230328
13,bernoulli,1,64,1.0,1.0,raw,3,0.4194470582162008,0.5592059902369066,0.2182723774536917,0.9689787779518586
36,bernoulli,1,64,1.0,1.0,raw,2,0.4175168027180587,0.5190554057836508,0.2231373524919697,0.9691679288453482
44,bernoulli,1,64,1.0,1.0,raw,2,0.3937304083173489,0.5488881298649937,0.2124936751518318,0.9695376986327412
48,bernoulli,1,64,1.0,1.0,raw,3,0.3960246911876499,0.575992676295981,0.2013256540764851,0.978070019548605
9,bernoulli,1,64,1.0,1.0,raw,2,0.4026372265124398,0.5830320945945946,0.2073264177145578,0.9757011952191236
27,bernoulli,1,64,1.0,1.0,raw,4,0.4159648846410937,0.5652248158707531,0.2098616343025776,0.9705967741935484
3,bernoulli,1,64,1.0,1.0,raw,4,0.4091029857769913,0.6015826168139861,0.206638900086211,0.976000096482024
14,bernoulli,1,64,1.0,1.0,raw,4,0.4040796737679569,0.5500723988717494,0.2019625744555011,0.9778938408852056
35,bernoulli,1,64,1.0,1.0,raw,3,0.4106451662764022,0.586522887128625,0.2051052802136211,0.972940682618102
32,bernoulli,1,64,1.0,1.0,raw,2,0.3930474128636058,0.5598929494278331,0.2352766416338784,0.9637866726047988
25,bernoulli,1,64,1.0,1.0,raw,2,0.4305863602276346,0.5577864349215862,0.2067969273710166,0.9751200117562536
22,bernoulli,1,64,1.0,1.0,raw,3,0.4258585518475787,0.5689401407024319,0.2234831313241522,0.9644181025703694
49,bernoulli,1,64,1.0,1.0,raw,2,0.411842802349262,0.5543964457317855,0.2027172342305198,0.9739939819458374
26,bernoulli,1,64,1.0,1.0,raw,4,0.4222939671436663,0.5613788559287847,0.2165564587260988,0.9608089942563852
28,bernoulli,1,64,1.0,1.0,raw,3,0.4275423080300237,0.6022914699401951,0.2310219123147302,0.961612228770867
37,bernoulli,1,64,1.0,1.0,raw,3,0.4137228526403206,0.5866952510881569,0.2114280630081072,0.9628913596524932
2,bernoulli,1,64,1.0,1.0,raw,3,0.4116588136307472,0.5360625633232017,0.2099605028014895,0.9650625182319869
11,bernoulli,1,64,1.0,1.0,raw,4,0.4138310163244605,0.5975160115165403,0.2133761477783118,0.974979011269334
33,bernoulli,1,64,1.0,1.0,raw,3,0.4195211405752569,0.5537329990779161,0.2190702767427028,0.970168973793304
31,bernoulli,1,64,1.0,1.0,raw,4,0.3973075139439596,0.5569191590810576,0.2185546138650806,0.9651015127704494
47,bernoulli,1,64,1.0,1.0,raw,3,0.398398902369906,0.5438824983363437,0.2373955321187988,0.9534675844254032
20,bernoulli,1,64,1.0,1.0,raw,4,0.4110504212811038,0.5650175806551107,0.2092736016462721,0.9742134872153948
12,bernoulli,1,64,1.0,1.0,raw,3,0.4096640403659236,0.5735850556438792,0.2244579136221784,0.965885885885886
23,bernoulli,1,64,1.0,1.0,raw,4,0.4251278404493143,0.5563609509879835,0.2501911833018132,0.9615319210961034
42,bernoulli,1,64,1.0,1.0,raw,4,0.4079851910285405,0.5709661970090224,0.2338429372182768,0.9599881005503496
29,bernoulli,1,64,1.0,1.0,raw,3,0.4142843767611988,0.5865494727762162,0.2130407888692325,0.969524660356706
5,bernoulli,1,64,1.0,1.0,raw,3,0.411193951842714,0.5794757512907638,0.1994626011373597,0.9753889834861494
4,bernoulli,1,64,1.0,1.0,raw,3,0.4135910264960625,0.5671662697856843,0.2252853422027397,0.9652235314885916
10,bernoulli,1,64,1.0,1.0,raw,4,0.4109120625792598,0.6262106357694593,0.2425701748194781,0.9598313092047548
17,bernoulli,1,64,1.0,1.0,raw,3,0.4125419804856622,0.5441047907681548,0.2060334976654599,0.9668490206218888
7,bernoulli,1,64,1.0,1.0,raw,5,0.4073952158675574,0.578158919678202,0.2061101648938611,0.970523528376454
46,bernoulli,1,64,1.0,1.0,raw,4,0.412089107792468,0.5573333333333333,0.2064252657797711,0.9701491336085826
30,bernoulli,1,64,1.0,1.0,raw,3,0.399476659668272,0.6290410159574038,0.2036214044720658,0.9765450901803608
21,bernoulli,1,64,1.0,1.0,raw,2,0.3984492618096323,0.5762311951570264,0.2331887184817732,0.9621053383494452
24,bernoulli,1,64,1.0,1.0,raw,3,0.4433115794765069,0.5061394069823051,0.2202907524467514,0.9645584695721698
34,bernoulli,1,64,1.0,1.0,raw,4,0.4081856573282593,0.5722480220158238,0.2148131868991296,0.9665305440129912
38,bernoulli,1,64,1.0,1.0,raw,4,0.4145727252881007,0.6007170721807563,0.2105662469674872,0.9686120331281622
15,bernoulli,1,64,1.0,1.0,raw,5,0.4112100777771512,0.5875297578431818,0.2425668959544867,0.9568001736676436
18,bernoulli,1,64,1.0,1.0,raw,5,0.4014387229414985,0.6139844797464754,0.2063738895174968,0.972660483202652
39,bernoulli,1,64,1.0,1.0,raw,3,0.4240843003080146,0.5821958334480006,0.1989624206928666,0.9729179807516228
1,bernoulli,1,64,1.0,1.0,raw,4,0.4268468419139045,0.5867011111897515,0.2200877463580683,0.9683542253749232
0,bernoulli,1,64,1.0,1.0,raw,5,0.4279745638154064,0.5481712692013121,0.2075511683863085,0.974394449628758
16,bernoulli,1,64,1.0,1.0,raw,4,0.4228757538604106,0.552673464139508,0.2158752906473762,0.9716948217386366
8,bernoulli,1,64,1.0,1.0,raw,4,0.4154710204775066,0.5413019977194308,0.2135372142017428,0.9734516129032258
41,bernoulli,1,64,1.0,1.0,raw,4,0.3954199799391141,0.5593419389512028,0.2068441553257395,0.9722361809045228
19,bernoulli,1,64,1.0,1.0,raw,5,0.3935180722755611,0.6030449509561782,0.2134068381317744,0.9748995983935744
43,bernoulli,1,64,1.0,1.0,raw,4,0.4273097748300566,0.5613853090212665,0.2127484450518783,0.9773814577754556
45,bernoulli,1,64,1.0,1.0,raw,3,0.4260069397699107,0.5370878941242627,0.2335889988036488,0.9663582670724123
40,bernoulli,1,64,1.0,1.0,raw,3,0.3999215518497772,0.6096697398606241,0.2272252140854397,0.96738436653835
6,bernoulli,1,64,1.0,1.0,raw,5,0.430823004839823,0.5542094185740595,0.2195741251825024,0.9732911226726876
44,bernoulli,1,64,1.0,1.0,raw,3,0.3994224006509995,0.5598270623977566,0.2037181538431076,0.9726865127774522
13,bernoulli,1,64,1.0,1.0,raw,4,0.424494856171957,0.5510735265727129,0.2141916609316245,0.97253952428429
48,bernoulli,1,64,1.0,1.0,raw,4,0.3960376722377521,0.588060143145124,0.2039079706258269,0.9784886361392492
27,bernoulli,1,64,1.0,1.0,raw,5,0.4154358705993993,0.5344054407222618,0.2235027001359694,0.9677459677419356
36,bernoulli,1,64,1.0,1.0,raw,3,0.4209877326575733,0.5352234056657975,0.2180688932202696,0.9685596661403114
3,bernoulli,1,64,1.0,1.0,raw,5,0.4115433987274031,0.6062732460961617,0.2114274463191552,0.9727840290089288
9,bernoulli,1,64,1.0,1.0,raw,3,0.4000871950718129,0.5946368243243243,0.205421305933543,0.9770876494023903
14,bernoulli,1,64,1.0,1.0,raw,5,0.407705194964421,0.5513529800714783,0.2067024210667661,0.9776021290964528
35,bernoulli,1,64,1.0,1.0,raw,4,0.4099785737800792,0.6096134075898437,0.2083633321780366,0.9720405889760728
22,bernoulli,1,64,1.0,1.0,raw,4,0.4260026023912862,0.5589613405890058,0.2400798688428602,0.9640677828017434
32,bernoulli,1,64,1.0,1.0,raw,3,0.3987089616112322,0.5582234303164535,0.2241506702463067,0.9656396879299513
25,bernoulli,1,64,1.0,1.0,raw,3,0.4309347430909334,0.5624546332367728,0.202217808858762,0.974466886552152
26,bernoulli,1,64,1.0,1.0,raw,5,0.4251826742218845,0.5627504504746792,0.2273065500532175,0.9559574728094832
2,bernoulli,1,64,1.0,1.0,raw,4,0.4064898149873076,0.5275693389057752,0.228354641868253,0.9638836829212738
11,bernoulli,1,64,1.0,1.0,raw,5,0.4142868405917553,0.5768809859568718,0.2049653424356189,0.9741071716878168
47,bernoulli,1,64,1.0,1.0,raw,4,0.3961198568675308,0.558807871470672,0.2403020685856174,0.9523098853326613
31,bernoulli,1,64,1.0,1.0,raw,5,0.403110181550902,0.5855187111689062,0.2182027664618682,0.9675619473943204
