n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,35,0.004,841,0.4089183655730682,0.6909035774774974,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4105241000652313, 0.41170358657836914, 0.4138590395450592, 0.41420018672943115, 0.4139013886451721, 0.411581426858902, 0.41084346175193787, 0.41709214448928833, 0.4125162363052368, 0.41371336579322815, 0.41198617219924927, 0.4124859571456909, 0.413747638463974, 0.41985103487968445, 0.41888347268104553, 0.41516637802124023, 0.41400259733200073, 0.4113600552082062, 0.41268402338027954, 0.40849772095680237, 0.4155051112174988, 0.413956880569458, 0.41345614194869995, 0.4105849266052246, 0.41126275062561035, 0.4114893674850464, 0.4124705195426941, 0.42108839750289917, 0.40938302874565125, 0.4164363741874695]",raw,32
54,bernoulli,14,0.014,843,0.3516021918037003,0.7683570896490537,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.06920962035655975, 0.07063431292772293, 0.06813911348581314, 0.0696527361869812, 0.07161281257867813, 0.06790471076965332, 0.07031156867742538, 0.06826312094926834, 0.08651265501976013, 0.06967093050479889, 0.06971023976802826, 0.06844184547662735, 0.07235301285982132, 0.06538388133049011, 0.07071031630039215, 0.06798476725816727, 0.07233648747205734, 0.06497400254011154, 0.06949584186077118, 0.06936604529619217, 0.0672212466597557, 0.0678185448050499, 0.07490301877260208, 0.07000342011451721, 0.06845115125179291, 0.06741899996995926, 0.06882026791572571, 0.06781134009361267, 0.0738358125090599, 0.07577969878911972]",raw,32
54,bernoulli,47,0.006,853,0.3305858792270346,0.7917862914725735,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3475220501422882, 0.3467440903186798, 0.34282243251800537, 0.34209680557250977, 0.344021201133728, 0.3439749479293823, 0.34801390767097473, 0.3432881534099579, 0.34374579787254333, 0.35381433367729187, 0.3482704162597656, 0.3444853127002716, 0.34430131316185, 0.3463457226753235, 0.34337908029556274, 0.34648147225379944, 0.35314321517944336, 0.3532072901725769, 0.3456304669380188, 0.3439580500125885, 0.3447413146495819, 0.34176328778266907, 0.3442772328853607, 0.34554991126060486, 0.34460893273353577, 0.3532344400882721, 0.351936012506485, 0.3461892306804657, 0.3423960208892822, 0.35588836669921875]",raw,32
54,bernoulli,3,0.01,877,0.3835253792488038,0.7200078302639702,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.19683030247688293, 0.19977214932441711, 0.19922086596488953, 0.2007230669260025, 0.20718905329704285, 0.19912965595722198, 0.19870421290397644, 0.19674541056156158, 0.19940204918384552, 0.19753950834274292, 0.20556822419166565, 0.2004670798778534, 0.1984935700893402, 0.19915194809436798, 0.19803567230701447, 0.2004011571407318, 0.20306947827339172, 0.2011609673500061, 0.19929619133472443, 0.20041123032569885, 0.21107493340969086, 0.2040206789970398, 0.199879989027977, 0.20025868713855743, 0.20007409155368805, 0.20275108516216278, 0.1986977905035019, 0.20195412635803223, 0.20180639624595642, 0.1980699896812439]",raw,32
54,bernoulli,41,0.005,867,0.3523077060338789,0.7060981881477966,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.38624662160873413, 0.3840482831001282, 0.393283873796463, 0.3866390883922577, 0.38719040155410767, 0.3863253593444824, 0.3953709900379181, 0.38994300365448, 0.3896518647670746, 0.38553664088249207, 0.3953264653682709, 0.38641712069511414, 0.3878744840621948, 0.3909863233566284, 0.3855510652065277, 0.3874281644821167, 0.3907947540283203, 0.39106032252311707, 0.3878161609172821, 0.39348986744880676, 0.38891294598579407, 0.3857210874557495, 0.3912515342235565, 0.38792258501052856, 0.3857891261577606, 0.38456666469573975, 0.39399316906929016, 0.38459154963493347, 0.38698339462280273, 0.39349648356437683]",raw,32
54,bernoulli,4,0.0155,853,0.4024811852541736,0.6903238860095563,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.0017047268338501453, 0.008712357841432095, 0.014353061094880104, 0.013662713579833508, 0.008470473811030388, 0.009373349137604237, 0.004958572797477245, 0.004363406449556351, 0.012154869735240936, 0.01151116844266653, 0.008401760831475258, 0.0066066924482584, 0.008104250766336918, 0.00142986502032727, 0.010122177191078663, 0.009675129316747189, 0.00141898263245821, 0.006789159495383501, 0.013104239478707314, 0.007497152779251337, 0.003964616917073727, 0.007322830148041248, 0.0077965836971998215, 0.003694135695695877, 0.0121522331610322, 0.006318843457847834, 0.016429465264081955, 0.010236890986561775, 0.0016541731311008334, 0.007954421453177929]",raw,32
54,bernoulli,26,0.0151,816,0.3932741362603152,0.7222588279590135,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02832460030913353, 0.02815416269004345, 0.019714530557394028, 0.03331524506211281, 0.02926183119416237, 0.03220319002866745, 0.03106895089149475, 0.0294183436781168, 0.026466915383934975, 0.02736504003405571, 0.024865789338946342, 0.027924371883273125, 0.026530349627137184, 0.024018527939915657, 0.028922973200678825, 0.029187075793743134, 0.029154673218727112, 0.02657238394021988, 0.02693980000913143, 0.035187143832445145, 0.027708154171705246, 0.02549157105386257, 0.027646351605653763, 0.024958118796348572, 0.026951419189572334, 0.02823612280189991, 0.026594016700983047, 0.027685081586241722, 0.025563232600688934, 0.024767611175775528]",raw,32
54,bernoulli,30,0.01,833,0.3613755478539762,0.7157491227074908,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.20008854568004608, 0.20028355717658997, 0.21171455085277557, 0.20104168355464935, 0.20408287644386292, 0.19901297986507416, 0.20230601727962494, 0.19970880448818207, 0.20129939913749695, 0.2049989104270935, 0.20502054691314697, 0.20230357348918915, 0.1977091133594513, 0.19907179474830627, 0.1985221952199936, 0.20142590999603271, 0.20113594830036163, 0.20188605785369873, 0.19862155616283417, 0.20526337623596191, 0.20293428003787994, 0.20184174180030823, 0.19982771575450897, 0.19988566637039185, 0.20138677954673767, 0.20144031941890717, 0.2027740329504013, 0.20207959413528442, 0.2005573958158493, 0.21150361001491547]",raw,32
54,bernoulli,25,0.008,834,0.3794225733935608,0.7792172216580255,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.27665022015571594, 0.26777616143226624, 0.2722371816635132, 0.27275896072387695, 0.2719832956790924, 0.26476219296455383, 0.26708877086639404, 0.26494118571281433, 0.27504661679267883, 0.2672843337059021, 0.2712215483188629, 0.27206718921661377, 0.27094918489456177, 0.2695716619491577, 0.26684531569480896, 0.2673068940639496, 0.2658478021621704, 0.2718297839164734, 0.27811989188194275, 0.2687641382217407, 0.27301475405693054, 0.26949548721313477, 0.2721830904483795, 0.27150803804397583, 0.27002599835395813, 0.2718581557273865, 0.2671361267566681, 0.26497185230255127, 0.2734284996986389, 0.27123430371284485]",raw,32
54,bernoulli,37,0.012,811,0.3953867032215184,0.7133978648303341,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.13441221415996552, 0.13251641392707825, 0.13141407072544098, 0.13162852823734283, 0.1409013718366623, 0.1319189816713333, 0.13249266147613525, 0.13921183347702026, 0.13890191912651062, 0.1331167370080948, 0.13614441454410553, 0.13101018965244293, 0.13318097591400146, 0.13881297409534454, 0.1317855715751648, 0.1328069418668747, 0.1322241723537445, 0.13411977887153625, 0.13699841499328613, 0.13475865125656128, 0.13455641269683838, 0.13609115779399872, 0.1346716731786728, 0.13067136704921722, 0.13220514357089996, 0.14018532633781433, 0.13303059339523315, 0.13425913453102112, 0.13714955747127533, 0.13728827238082886]",raw,32
