n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,24,0.008,847,0.4146504636149918,0.732083931133429,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3340485990047455, 0.33135750889778137, 0.32979467511177063, 0.33911338448524475, 0.3387123942375183, 0.3354955017566681, 0.33637678623199463, 0.32895326614379883, 0.33144983649253845, 0.33115991950035095, 0.33056458830833435, 0.3362628221511841, 0.33897092938423157, 0.33841389417648315, 0.3407844007015228, 0.33486443758010864, 0.32972997426986694, 0.3348582684993744, 0.3273164629936218, 0.3344268202781677, 0.336406409740448, 0.33466771245002747, 0.33615216612815857, 0.33630821108818054, 0.33644136786460876, 0.334392249584198, 0.3320493698120117, 0.3310255706310272, 0.33870160579681396, 0.32964903116226196]",pca,32
54,bernoulli,18,0.006,849,0.3765931263415885,0.6804330785812267,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.41331425309181213, 0.4031592905521393, 0.403973251581192, 0.4051949679851532, 0.4017579257488251, 0.3965294063091278, 0.4077310264110565, 0.40631192922592163, 0.4059523642063141, 0.40681469440460205, 0.4038917124271393, 0.40402305126190186, 0.39722102880477905, 0.40440070629119873, 0.4063107371330261, 0.4031710922718048, 0.402488648891449, 0.39349886775016785, 0.40771767497062683, 0.40794456005096436, 0.4008295238018036, 0.4051063060760498, 0.39963945746421814, 0.4050048887729645, 0.3986189365386963, 0.40320807695388794, 0.3988925516605377, 0.3991393744945526, 0.40490543842315674, 0.40369606018066406]",pca,32
54,bernoulli,21,0.015,852,0.3595985670866863,0.7198239858086405,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.07179343700408936, 0.06611443310976028, 0.061128515750169754, 0.06653466820716858, 0.0719132348895073, 0.06833304464817047, 0.06478368490934372, 0.0680794045329094, 0.064496248960495, 0.06599640846252441, 0.057446885854005814, 0.07170519232749939, 0.05962492525577545, 0.068350650370121, 0.07105349749326706, 0.06910750269889832, 0.06563284993171692, 0.06072681024670601, 0.06630664318799973, 0.07053378969430923, 0.06410332769155502, 0.06631829589605331, 0.06633829325437546, 0.07010398060083389, 0.07159888744354248, 0.06634222716093063, 0.06754904240369797, 0.07310609519481659, 0.06519252806901932, 0.06433043628931046]",pca,32
54,bernoulli,3,0.01,877,0.3935702678161616,0.6719797015464771,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.25099265575408936, 0.24770410358905792, 0.24431845545768738, 0.23787441849708557, 0.24150237441062927, 0.2438146471977234, 0.24497507512569427, 0.2449420839548111, 0.24867461621761322, 0.24927198886871338, 0.23893624544143677, 0.24700744450092316, 0.2484515905380249, 0.2514253854751587, 0.2490861713886261, 0.24844400584697723, 0.2470865100622177, 0.24915948510169983, 0.24449224770069122, 0.24556754529476166, 0.25046828389167786, 0.24892151355743408, 0.24761813879013062, 0.2469678819179535, 0.24573934078216553, 0.24573399126529694, 0.24594725668430328, 0.25204455852508545, 0.2520512044429779, 0.24610452353954315]",pca,32
54,bernoulli,47,0.006,853,0.3404857556497715,0.7503850175872231,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.40416955947875977, 0.3997860848903656, 0.40595191717147827, 0.39557945728302, 0.3975362777709961, 0.3932704031467438, 0.3962181806564331, 0.39814263582229614, 0.4074094891548157, 0.40260598063468933, 0.4008897542953491, 0.39993271231651306, 0.3949120044708252, 0.3933902680873871, 0.3986150026321411, 0.40355175733566284, 0.4045175015926361, 0.4071735739707947, 0.40870171785354614, 0.39808401465415955, 0.39532139897346497, 0.3993319571018219, 0.3933306634426117, 0.3910621702671051, 0.3947834074497223, 0.3996324837207794, 0.39476823806762695, 0.39791664481163025, 0.3948900103569031, 0.3957449495792389]",pca,32
54,bernoulli,26,0.0151,816,0.3942835757448564,0.707836914719092,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.08987733721733093, 0.08227444440126419, 0.08321186155080795, 0.07030776143074036, 0.08848326653242111, 0.06900495290756226, 0.06932570785284042, 0.08587320148944855, 0.06148328259587288, 0.09084659069776535, 0.08560920506715775, 0.0890888199210167, 0.08334539830684662, 0.07806644588708878, 0.06356516480445862, 0.07085894048213959, 0.08735980093479156, 0.0820968970656395, 0.068307064473629, 0.08570446074008942, 0.07059910148382187, 0.09313928335905075, 0.07053684443235397, 0.06382007151842117, 0.08122570067644119, 0.06416571885347366, 0.06859514862298965, 0.08661951869726181, 0.06423671543598175, 0.07698909193277359]",pca,32
54,bernoulli,4,0.0155,853,0.3940344411312481,0.6354064528178549,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.05603887140750885, 0.04888888821005821, 0.054842445999383926, 0.04444917291402817, 0.05126100778579712, 0.060975849628448486, 0.06119069084525108, 0.0526992492377758, 0.057610105723142624, 0.053165484219789505, 0.05845075473189354, 0.051449790596961975, 0.061055850237607956, 0.05530844256281853, 0.04026160016655922, 0.057708680629730225, 0.05896658077836037, 0.0475773848593235, 0.05893304944038391, 0.05484204739332199, 0.05619746446609497, 0.05953318625688553, 0.05405038595199585, 0.049640171229839325, 0.06343063712120056, 0.04826860502362251, 0.05655932426452637, 0.05244552716612816, 0.05302247405052185, 0.05133537948131561]",pca,32
54,bernoulli,32,0.0155,755,0.3625690493098184,0.7069784220947011,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.05860213562846184, 0.05416339635848999, 0.04707946628332138, 0.04937971383333206, 0.046769097447395325, 0.061608631163835526, 0.06339944154024124, 0.044217549264431, 0.05338258296251297, 0.053219571709632874, 0.054241497069597244, 0.06011991947889328, 0.053583774715662, 0.048297300934791565, 0.05511951446533203, 0.048681531101465225, 0.05768134072422981, 0.05483202263712883, 0.05739056318998337, 0.061524517834186554, 0.05311520770192146, 0.05138546600937843, 0.05748317390680313, 0.04165002703666687, 0.05260628089308739, 0.05517224222421646, 0.049360018223524094, 0.05221439152956009, 0.05217656493186951, 0.052879899740219116]",pca,32
54,bernoulli,38,0.0159,832,0.398857736562416,0.6273329274434196,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.04700786620378494, 0.044971171766519547, 0.04170369729399681, 0.037344638258218765, 0.05109526962041855, 0.05208875238895416, 0.05107373744249344, 0.052384842187166214, 0.04787662252783775, 0.05352810397744179, 0.05274060368537903, 0.05476957932114601, 0.04856685549020767, 0.049023762345314026, 0.05107805132865906, 0.04946381598711014, 0.04413706064224243, 0.0459921732544899, 0.05243915691971779, 0.048928529024124146, 0.05137389898300171, 0.05534735321998596, 0.04977230727672577, 0.048364195972681046, 0.04649794101715088, 0.046598441898822784, 0.04737947881221771, 0.04600955918431282, 0.04907641187310219, 0.05509171634912491]",pca,32
54,bernoulli,10,0.0159,842,0.3794598418865136,0.7216726084373142,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.04695283621549606, 0.045027464628219604, 0.04228421300649643, 0.05085558444261551, 0.04338078200817108, 0.05088277906179428, 0.033248044550418854, 0.041530758142471313, 0.044563718140125275, 0.03866691514849663, 0.038575831800699234, 0.04907920956611633, 0.03149581328034401, 0.04303901642560959, 0.042546093463897705, 0.03925132378935814, 0.04414663463830948, 0.042604710906744, 0.04033645987510681, 0.03947310894727707, 0.03809473291039467, 0.04078657552599907, 0.05270303785800934, 0.045161474496126175, 0.04312046989798546, 0.035419195890426636, 0.05143522471189499, 0.045583490282297134, 0.05095227062702179, 0.047789741307497025]",pca,32
