seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
16,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2145743072032928,0.1138314008712768,0.1515783816576004,0.6439142253095741,0.4571392225223193,0.2089762594893937,0.6829772456687631,0.1803773080309232,0.4184449894974629,0.6213271021842961,0.7372433051466942,0.5635759589247962,0.4337410719499592,0.188131319683533,0.6493322496496348,0.1387290493274728,0.3719319304451346,0.7227510869503022,0.807229021936655
4,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,297,0.0609711408615112,0.1017806529998779,0.1654942631721496,0.6966762204142012,0.4209605124738521,0.177207752322578,0.6428965868910173,0.070190837637951,0.3645067491164111,0.6346646666526795,0.6963289618492127,0.6889330621301776,0.4289470013990886,0.1839955285935091,0.6379472894463104,0.0977213982404883,0.3614341885177575,0.72578861117363,0.773916733264923
4,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1354710906744003,0.1017806529998779,0.1654942631721496,0.5364685819231273,0.4808770127706743,0.2312427205494446,0.7427398842929652,0.1384117197753354,0.4371767461892556,0.7249049991369247,0.7748326994478703,0.6370195461104552,0.4639307721377475,0.2152317802363365,0.712394106388495,0.1344633593901314,0.4042852198366414,0.7434380501508713,0.8129045590758324
4,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2379008382558822,0.1017806529998779,0.1654942631721496,0.6729090397071248,0.4551889178269563,0.2071969425042056,0.6537526362747748,0.0928986066952347,0.4096751732751727,0.6575609356164932,0.7147054150700569,0.701774148127288,0.4813526056568838,0.2317003152509825,0.6993454065008684,0.1829456903661291,0.4241230610137184,0.7384972095489502,0.7650850653648377
1,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,290,0.0701973587274551,0.1246832609176635,0.210295170545578,0.6230060606060606,0.4517958153796843,0.2041194555846868,0.678256044737071,0.1001802521744349,0.3948030861287281,0.7062819063663485,0.7695392102003098,0.6682666666666667,0.4573056953844626,0.2091284855053832,0.6851332092874977,0.1424761060625314,0.3799629132680852,0.7652947068214417,0.8159096717834473
1,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1696889996528625,0.1246832609176635,0.210295170545578,0.5647574123989219,0.4557375571068902,0.2076967218964885,0.7813329894464274,0.1381569664571664,0.4063949142582714,0.6885071992874146,0.7531816139817238,0.5954177897574123,0.4526073689085916,0.204853416930337,0.7249005302465056,0.1586875872347842,0.3795215832492845,0.7686462849378586,0.8252302706241608
1,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2580232620239258,0.1246832609176635,0.210295170545578,0.5484544695071012,0.4844180057261476,0.2346608193451219,0.7272505245082377,0.1673507003734509,0.4444160270815094,0.6892433255910874,0.7323306530714035,0.5343915343915344,0.5016794015000973,0.2516822123002573,0.7887480154041714,0.1724515246227383,0.4348450779914856,0.7837697878479958,0.8119579657912255
20,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,286,0.0673148408532142,0.1191694736480712,0.1859040856361389,0.6654729693882965,0.4400337113936786,0.1936296723254966,0.6552816035073687,0.1024254757390889,0.3807165257997446,0.6615694910287857,0.7262904644012451,0.6352591649424373,0.4549519277947887,0.2069812591076285,0.6710541391310267,0.1035549000843421,0.3827097603491136,0.766106553375721,0.8368331380188465
20,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1542182117700576,0.1191694736480712,0.1859040856361389,0.5929838818908303,0.4167272722354753,0.1736616214846982,0.6939329333470304,0.1475737478308887,0.3646041994004256,0.6356476172804832,0.7018003612756729,0.6173642150887173,0.4188049899476657,0.1753976079788447,0.6990740825594146,0.1163151662542738,0.3555362557315014,0.6487633045762777,0.6804646402597427
20,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2772401571273803,0.1191694736480712,0.1859040856361389,0.5743778280542986,0.4626102644700203,0.2140082478858199,0.7061392382848484,0.150485133909451,0.419607525334383,0.6824900895357133,0.7221719413995742,0.5854072398190046,0.4752162303154124,0.2258304568292323,0.7358806651053649,0.1632059027751286,0.4118314058209459,0.7481730826199056,0.8010970074683426
