n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type
1,bernoulli,14,0.00795,0.2686192798964038,0.3483037704812674,0.2456829259845014,0.5,0.6278279501494011,0.7886706227976933,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5124406218528748, 0.5111966729164124, 0.5125302672386169, 0.5115276575088501, 0.5124911665916443, 0.5110339522361755, 0.5118005871772766, 0.5132805705070496, 0.5112796425819397, 0.5126734972000122, 0.5112096667289734, 0.5124562978744507, 0.5123016238212585, 0.5108153820037842, 0.5114473104476929, 0.511718213558197, 0.512334942817688, 0.5123109221458435, 0.5114763379096985, 0.5115181803703308, 0.5123754143714905, 0.5124579668045044, 0.5118520259857178, 0.511955738067627, 0.5124708414077759, 0.5122410655021667, 0.5127589106559753, 0.5126860737800598, 0.5128228068351746, 0.5114654898643494]",sae
1,bernoulli,12,0.00795,0.2597873219771969,0.3024187226699046,0.2551113580199212,0.5,0.5741255961844197,0.6463910969793323,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5079300403594971, 0.5083276033401489, 0.5083947777748108, 0.5072000622749329, 0.5072214007377625, 0.5080444812774658, 0.5070523023605347, 0.5084632635116577, 0.5073078870773315, 0.5070870518684387, 0.5082017779350281, 0.5080326199531555, 0.5071990489959717, 0.5092114210128784, 0.5073379278182983, 0.5082200169563293, 0.5083072781562805, 0.50899738073349, 0.5081471800804138, 0.5065973997116089, 0.5085793733596802, 0.5077264904975891, 0.507376492023468, 0.5064579248428345, 0.5081548094749451, 0.5073540210723877, 0.506484866142273, 0.5084869861602783, 0.5074665546417236, 0.5067127346992493]",sae
1,bernoulli,11,0.00795,0.2602790691528482,0.3504109171559362,0.2487521694917816,0.5,0.6088133343166899,0.7125672984733388,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5154359340667725, 0.5156821608543396, 0.5156604647636414, 0.5155625343322754, 0.5142003893852234, 0.5134884119033813, 0.5148390531539917, 0.5134779810905457, 0.5137854814529419, 0.5135893225669861, 0.5155101418495178, 0.5157878398895264, 0.5155715942382812, 0.5152362585067749, 0.514589250087738, 0.5158308744430542, 0.5136481523513794, 0.5147899389266968, 0.5152615308761597, 0.5153092741966248, 0.5142900347709656, 0.5145187377929688, 0.5140275955200195, 0.5155919790267944, 0.5143544673919678, 0.5149484872817993, 0.5131200551986694, 0.514802873134613, 0.5155553817749023, 0.5154123902320862]",sae
1,bernoulli,8,0.00795,0.2637514488804148,0.3642577511375723,0.2389447713948387,0.5,0.6204255825365433,0.7632604202292972,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5127626657485962, 0.5134090781211853, 0.5115103125572205, 0.5132241249084473, 0.513792872428894, 0.5132487416267395, 0.5120469331741333, 0.5121917724609375, 0.5132102966308594, 0.513300359249115, 0.5121673345565796, 0.513525128364563, 0.5139864087104797, 0.5114311575889587, 0.5135320425033569, 0.5120973587036133, 0.5125482082366943, 0.5112907886505127, 0.5135360360145569, 0.5116325616836548, 0.5130636692047119, 0.5134264826774597, 0.5116292238235474, 0.5130305290222168, 0.5126782059669495, 0.5120983719825745, 0.5120993256568909, 0.5130009651184082, 0.5128501057624817, 0.5127676725387573]",sae
1,bernoulli,13,0.00795,0.2576262494880105,0.2864921968847106,0.2450122076515939,0.5,0.6504178272980501,0.6096072699191926,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5084800124168396, 0.509776771068573, 0.5094758868217468, 0.509215235710144, 0.5089536309242249, 0.5091915726661682, 0.509540855884552, 0.5084193348884583, 0.5094245672225952, 0.5090120434761047, 0.5080317258834839, 0.5082902908325195, 0.5084808468818665, 0.5090727210044861, 0.5096424221992493, 0.5095895528793335, 0.5097200870513916, 0.5097593665122986, 0.5082273483276367, 0.5086297988891602, 0.5089143514633179, 0.5093192458152771, 0.5096422433853149, 0.5099214315414429, 0.508255124092102, 0.5083307027816772, 0.5095289349555969, 0.5091995000839233, 0.5086967945098877, 0.5089604258537292]",sae
1,bernoulli,15,0.00795,0.2718935291509395,0.3597441933012829,0.2367379992750641,0.5,0.6054431526498566,0.8033897025517137,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5149683356285095, 0.5150806903839111, 0.513083815574646, 0.5140734314918518, 0.514186441898346, 0.5137207508087158, 0.5132045149803162, 0.5142294764518738, 0.5133121013641357, 0.5141323804855347, 0.5136916637420654, 0.5128911137580872, 0.5146256685256958, 0.5141705870628357, 0.5140990614891052, 0.5147166848182678, 0.5144960880279541, 0.5148881077766418, 0.5139429569244385, 0.5138717293739319, 0.513213574886322, 0.5122514963150024, 0.5154531002044678, 0.5131902694702148, 0.5142821669578552, 0.514220654964447, 0.5144354104995728, 0.5134249925613403, 0.5130249857902527, 0.5147953033447266]",sae
1,bernoulli,16,0.00795,0.2755815506984068,0.3722566753644603,0.2440560308763991,0.5,0.5738504155124654,0.734882271468144,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.512265145778656, 0.5142449140548706, 0.5134326219558716, 0.5123869776725769, 0.5135408639907837, 0.5127779841423035, 0.5137386918067932, 0.5131927728652954, 0.5142325162887573, 0.5141523480415344, 0.5118920207023621, 0.5147008895874023, 0.51372891664505, 0.5141977667808533, 0.5144723653793335, 0.5146799087524414, 0.5139830708503723, 0.5130577683448792, 0.5139403343200684, 0.51301109790802, 0.5129953026771545, 0.5125042796134949, 0.5127430558204651, 0.5139909386634827, 0.5144628286361694, 0.513338565826416, 0.5146311521530151, 0.5137613415718079, 0.5144819021224976, 0.5148050785064697]",sae
1,bernoulli,17,0.00795,0.2649028863966695,0.287543092483577,0.2532892065428148,0.5,0.5982267332502268,0.6267509533890492,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5046506524085999, 0.5048312544822693, 0.5059944987297058, 0.5059003233909607, 0.5044981241226196, 0.5055579543113708, 0.5053814053535461, 0.5051288604736328, 0.5056188702583313, 0.5053938031196594, 0.5044888257980347, 0.505374550819397, 0.5047717690467834, 0.5055950284004211, 0.5049523115158081, 0.5046103596687317, 0.5047057271003723, 0.5051845908164978, 0.50516676902771, 0.5047245025634766, 0.5056602358818054, 0.5051124095916748, 0.5049101114273071, 0.505725622177124, 0.5058577060699463, 0.5051043629646301, 0.5050276517868042, 0.5057550668716431, 0.5050973892211914, 0.5050851106643677]",sae
1,bernoulli,18,0.00795,0.2534575826446797,0.2659350437001561,0.2433235610522141,0.5,0.6141893657325755,0.612156247958717,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.508449375629425, 0.5075512528419495, 0.5084092617034912, 0.5071508288383484, 0.5082438588142395, 0.5078308582305908, 0.507577657699585, 0.5070276856422424, 0.5077590346336365, 0.5085210800170898, 0.508068859577179, 0.5081725716590881, 0.5081751942634583, 0.5084517598152161, 0.5071462392807007, 0.5077211856842041, 0.5069982409477234, 0.5071073770523071, 0.5079037547111511, 0.5074126720428467, 0.5076289176940918, 0.5074954628944397, 0.5082015991210938, 0.506924569606781, 0.5080191493034363, 0.5073659420013428, 0.5070092082023621, 0.5074632167816162, 0.5072662234306335, 0.5082194209098816]",sae
1,bernoulli,19,0.00795,0.2607330720715428,0.2930655764473007,0.2475479846012823,0.5,0.6128801778279585,0.6665637569684567,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5062872171401978, 0.5076109766960144, 0.5068249106407166, 0.5059164762496948, 0.5074353218078613, 0.5067269802093506, 0.5069031119346619, 0.5066776871681213, 0.5070208311080933, 0.5056820511817932, 0.5068790316581726, 0.5074653625488281, 0.5062745213508606, 0.5066160559654236, 0.5069122314453125, 0.5075581073760986, 0.5067949295043945, 0.5068789720535278, 0.5076993703842163, 0.5061174631118774, 0.5069972276687622, 0.5068635940551758, 0.5066629648208618, 0.5065591335296631, 0.5071762800216675, 0.5066891312599182, 0.5064235925674438, 0.5066223740577698, 0.5066016912460327, 0.5072999000549316]",sae
1,bernoulli,20,0.00795,0.2628846602875599,0.3521012945879425,0.2250741876047911,0.5,0.5807707729319598,0.8435553019554624,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5154424905776978, 0.5173155069351196, 0.516996443271637, 0.5177612900733948, 0.5162844061851501, 0.5167886018753052, 0.5171390771865845, 0.5172281265258789, 0.5166148543357849, 0.5161830186843872, 0.5162498354911804, 0.517307460308075, 0.5171582102775574, 0.5168094635009766, 0.5155428647994995, 0.5161040425300598, 0.5168481469154358, 0.5152457356452942, 0.5161212682723999, 0.5152258276939392, 0.515990138053894, 0.5148776173591614, 0.5157836079597473, 0.5172482132911682, 0.5170499682426453, 0.5167818069458008, 0.5172093510627747, 0.5171817541122437, 0.5163665413856506, 0.5153016448020935]",sae
1,bernoulli,22,0.00795,0.2838110745236054,0.3328144933076724,0.2701652919829229,0.5,0.498284284041823,0.6077671470671351,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5063591599464417, 0.5060770511627197, 0.5068925619125366, 0.5071447491645813, 0.507299542427063, 0.5061972141265869, 0.5070242881774902, 0.5068753361701965, 0.5066763758659363, 0.5054311156272888, 0.5070633292198181, 0.507128894329071, 0.5062112808227539, 0.5072276592254639, 0.5064715147018433, 0.5057345032691956, 0.5069425702095032, 0.5057300925254822, 0.5055503845214844, 0.5057811141014099, 0.5071840286254883, 0.5058004856109619, 0.5075336694717407, 0.5069342255592346, 0.5074884295463562, 0.5065584182739258, 0.5058189630508423, 0.5057280659675598, 0.5060800909996033, 0.5072066187858582]",sae
