n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,3,0.01,0.4231758371970585,0.6664871003436027,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5079948902130127, 0.5079247951507568, 0.5083412528038025, 0.5087119340896606, 0.5079412460327148, 0.5084483027458191, 0.5065078139305115, 0.5062413215637207, 0.506808340549469, 0.5086761116981506, 0.5082218050956726, 0.5084942579269409, 0.5078165531158447, 0.5066127777099609, 0.5060526132583618, 0.5085992217063904, 0.5081226229667664, 0.5060038566589355, 0.5072432160377502, 0.5078684091567993, 0.5080373883247375, 0.5063700675964355, 0.5067073106765747, 0.5090925097465515, 0.5081457495689392, 0.5074943900108337, 0.5076533555984497, 0.5075138807296753, 0.5060317516326904, 0.5086578130722046]",sae,Pre-32
1,bernoulli,9,0.012,0.423291671106445,0.6567171032994282,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5097625851631165, 0.5093323588371277, 0.5095428228378296, 0.5090904235839844, 0.5097368359565735, 0.5067898035049438, 0.5076697468757629, 0.5101231336593628, 0.5066516399383545, 0.5096989274024963, 0.5100129246711731, 0.5097733736038208, 0.5092678666114807, 0.5095091462135315, 0.5096611976623535, 0.5102306008338928, 0.5069424510002136, 0.5093239545822144, 0.5072212219238281, 0.5095864534378052, 0.5092214941978455, 0.5092228651046753, 0.50983726978302, 0.5093470215797424, 0.5093225240707397, 0.5084155201911926, 0.5098772048950195, 0.5073307752609253, 0.5074669718742371, 0.5071171522140503]",sae,Pre-32
1,bernoulli,29,0.002,0.4125902344527103,0.6670664356890093,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5068386197090149, 0.5099144577980042, 0.5096535086631775, 0.5080905556678772, 0.5091747641563416, 0.5090304613113403, 0.5096765756607056, 0.5076104998588562, 0.5093168020248413, 0.5094768404960632, 0.5095921158790588, 0.5092120170593262, 0.5095537304878235, 0.5096656680107117, 0.5072105526924133, 0.5093140602111816, 0.508628785610199, 0.5094265341758728, 0.507269024848938, 0.5074037313461304, 0.5088406801223755, 0.5074184536933899, 0.5090057253837585, 0.5092153549194336, 0.5093400478363037, 0.5090596079826355, 0.5088697671890259, 0.5083832740783691, 0.5094271302223206, 0.5075807571411133]",sae,Pre-32
1,bernoulli,41,0.005,0.4097816573244036,0.7040999854583305,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5082893967628479, 0.5065829157829285, 0.5078479051589966, 0.5083438158035278, 0.5083494186401367, 0.5067819952964783, 0.5081347823143005, 0.5068515539169312, 0.5086026787757874, 0.5082685351371765, 0.5076926350593567, 0.5089870095252991, 0.5087563395500183, 0.5076348185539246, 0.5080710053443909, 0.5082266330718994, 0.5086044669151306, 0.5070870518684387, 0.5078479647636414, 0.5081868171691895, 0.5067429542541504, 0.5076186060905457, 0.5072464346885681, 0.5066887736320496, 0.5078603029251099, 0.5085785984992981, 0.5085888504981995, 0.5086459517478943, 0.5080083608627319, 0.5089941620826721]",sae,Pre-32
1,bernoulli,48,0.015,0.4344170803846454,0.6441851321369393,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.025581885129213333, 0.026963382959365845, 0.029383348301053047, 0.026705000549554825, 0.02892412431538105, 0.028514692559838295, 0.02662062458693981, 0.030533120036125183, 0.027028998360037804, 0.027628395706415176, 0.026926251128315926, 0.022778954356908798, 0.03302944079041481, 0.02625166065990925, 0.02628457546234131, 0.026699746027588844, 0.02512180060148239, 0.02692810632288456, 0.025624636560678482, 0.024166975170373917, 0.028942905366420746, 0.027955248951911926, 0.028386861085891724, 0.025493988767266273, 0.025927869603037834, 0.026845280081033707, 0.026367221027612686, 0.032254066318273544, 0.025613049045205116, 0.029134538024663925]",sae,Pre-32
1,bernoulli,15,0.014,0.4099424077208555,0.6947142064372919,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5088371634483337, 0.5075735449790955, 0.5081035494804382, 0.5091595649719238, 0.5078170895576477, 0.5067222118377686, 0.507939875125885, 0.5072710514068604, 0.5067466497421265, 0.5069147944450378, 0.5079548954963684, 0.5082389116287231, 0.5080512762069702, 0.5091036558151245, 0.5073285102844238, 0.5078157782554626, 0.5086222887039185, 0.508211612701416, 0.507725179195404, 0.5076568126678467, 0.5086571574211121, 0.5070292949676514, 0.5092843770980835, 0.5077834725379944, 0.5081390738487244, 0.5072398781776428, 0.507588267326355, 0.5077490210533142, 0.5067046284675598, 0.5086125135421753]",sae,Pre-32
1,bernoulli,23,0.018,0.419609006499088,0.7043200608995369,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,18,0.025,0.4293318056538208,0.6702852591521874,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,49,0.015,0.405461187420771,0.7217191801774243,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5060485005378723, 0.5082970261573792, 0.5099770426750183, 0.5081745982170105, 0.5094510912895203, 0.5085163712501526, 0.5063319206237793, 0.506542444229126, 0.5093606114387512, 0.5075231790542603, 0.5080007910728455, 0.5077720284461975, 0.5093960762023926, 0.5080756545066833, 0.5074491500854492, 0.5079134702682495, 0.5079949498176575, 0.5079631805419922, 0.5061015486717224, 0.5089017152786255, 0.5081071853637695, 0.5090070962905884, 0.5087931156158447, 0.5064347982406616, 0.5072145462036133, 0.5065826177597046, 0.5064910054206848, 0.5058895945549011, 0.5092087984085083, 0.5088305473327637]",sae,Pre-32
1,bernoulli,19,0.025,0.4226250867936622,0.7029563932002956,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
