Loading Post-Revision Data...

Loading Pre-Revision Data...

==================================================
Tuning Scenario: Post-8
==================================================

--- Testing LAMBDA_TAU = 1.3 ---
Epoch  200 | Loss: 7.7654 | Train RMSE: 0.3238 AUC: 0.6274 | Test RMSE: 0.2611 AUC: 0.6434 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  225 | Loss: 6.9971 | Train RMSE: 0.3285 AUC: 0.6347 | Test RMSE: 0.2673 AUC: 0.6459 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  250 | Loss: 6.4039 | Train RMSE: 0.3329 AUC: 0.6420 | Test RMSE: 0.2731 AUC: 0.6456 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  275 | Loss: 5.9329 | Train RMSE: 0.3371 AUC: 0.6487 | Test RMSE: 0.2785 AUC: 0.6492 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  300 | Loss: 5.5487 | Train RMSE: 0.3411 AUC: 0.6547 | Test RMSE: 0.2835 AUC: 0.6542 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  325 | Loss: 5.2316 | Train RMSE: 0.3446 AUC: 0.6602 | Test RMSE: 0.2880 AUC: 0.6600 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  350 | Loss: 4.9678 | Train RMSE: 0.3479 AUC: 0.6651 | Test RMSE: 0.2920 AUC: 0.6639 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  375 | Loss: 4.7468 | Train RMSE: 0.3509 AUC: 0.6693 | Test RMSE: 0.2957 AUC: 0.6670 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  400 | Loss: 4.5604 | Train RMSE: 0.3535 AUC: 0.6731 | Test RMSE: 0.2989 AUC: 0.6692 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  425 | Loss: 4.4023 | Train RMSE: 0.3559 AUC: 0.6766 | Test RMSE: 0.3019 AUC: 0.6710 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  450 | Loss: 4.2673 | Train RMSE: 0.3580 AUC: 0.6799 | Test RMSE: 0.3045 AUC: 0.6731 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  475 | Loss: 4.1515 | Train RMSE: 0.3599 AUC: 0.6827 | Test RMSE: 0.3068 AUC: 0.6759 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  500 | Loss: 4.0515 | Train RMSE: 0.3617 AUC: 0.6852 | Test RMSE: 0.3089 AUC: 0.6802 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  525 | Loss: 3.9648 | Train RMSE: 0.3632 AUC: 0.6876 | Test RMSE: 0.3107 AUC: 0.6835 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  550 | Loss: 3.8891 | Train RMSE: 0.3646 AUC: 0.6898 | Test RMSE: 0.3124 AUC: 0.6848 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  575 | Loss: 3.8229 | Train RMSE: 0.3658 AUC: 0.6918 | Test RMSE: 0.3139 AUC: 0.6883 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  600 | Loss: 3.7645 | Train RMSE: 0.3669 AUC: 0.6937 | Test RMSE: 0.3152 AUC: 0.6920 | Tau (min/mean/max): 0.000/0.000/0.000
