n_samples,model_type,rmse_mean,rmse_rasch,rmse_amortized,auc_mean,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type
11,beta,0.26234350080631635,0.2709493923327215,0.26235764367288456,0.5,0.6146944622460135,0.787801108304746,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
12,beta,0.26234401200754554,0.27251846635876026,0.2620229092375423,0.5,0.6143740340030912,0.7927017755494401,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
13,beta,0.262334966438664,0.26486686898209455,0.261671674109997,0.5,0.6128378633090813,0.7764918762016059,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
14,beta,0.26233412860723965,0.26190209016453814,0.2612438733235783,0.5,0.6131677159120895,0.7608662871791005,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
15,beta,0.26233385879655036,0.25939721678756883,0.256056294847182,0.5,0.6128378633090813,0.774767218305877,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
16,beta,0.2623351226442268,0.26025357702638796,0.2559730481110697,0.5,0.6130075017906285,0.775134768349229,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
17,beta,0.2623368693000947,0.26104207598772605,0.25564062070802834,0.5,0.6132431107927772,0.7782165340973348,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
18,beta,0.26233725271080177,0.26026160710090324,0.2535129876139191,0.5,0.6134975685150977,0.7774343122102009,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
19,beta,0.2623376361209485,0.2609074101259494,0.25317921352268535,0.5,0.6129226825498548,0.7808459305613149,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
20,beta,0.26233691190131203,0.2605556435088945,0.2521026522482144,0.5,0.6131488671919176,0.7776793455724357,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
21,beta,0.26233830353727466,0.2614380911606779,0.2518701194829889,0.5,0.6129886530704566,0.7811380857239792,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",pca
22,beta,0.26233725271080177,0.2617992732735901,0.2512496323606544,0.5,0.6130640479511441,0.7872450710596751,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",pca
