seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,8,0.4641486508584584,0.4843388429752066,0.4318475701858553,0.7774394536750212
11,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,6,0.4488453681628199,0.5343175705961452,0.4315491143484158,0.7310236112538981
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,7,0.4618792208219321,0.4922619047619047,0.4242729103261695,0.7292801596872792
19,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4460381401394169,0.5488262910798122,0.41743609990152,0.7600215849522047
2,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,6,0.4339169165701696,0.4368435227578777,0.4199941528571789,0.7067723867025533
8,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,6,0.4670127146192848,0.5558801117602234,0.4176740944671998,0.7759687166725916
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,11,0.4035106145320579,0.5271924223073647,0.4248660514620931,0.7337082864641918
30,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4517924676871798,0.5574887816442299,0.4356762304789816,0.7136370036609406
44,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.5031532161216752,0.5248920497840996,0.4258619809390255,0.7280391526453042
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,10,0.4570347386414494,0.4800664451827243,0.4140717667316438,0.7799919967987194
42,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4581174251611921,0.4604863221884498,0.4093214167405509,0.7583922412321142
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,12,0.4499363185275166,0.5195299145299145,0.4101574125727571,0.7839613827468078
40,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4595610708854926,0.5968904534406169,0.4113074178817898,0.736353158942479
33,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4346896918410898,0.5508713942307693,0.4347002328122632,0.7304561168729787
10,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4622647202511756,0.5930099113197705,0.422448933466548,0.7468363770522044
41,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4884131749271365,0.5519111570247934,0.4080351342402512,0.7865153886280647
34,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4581928652031792,0.5306748466257668,0.4077018324551864,0.7638439163602436
11,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,7,0.4485686366307398,0.4640856118332586,0.4308474576240902,0.7306466536444947
15,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4410016898157438,0.4479315750017039,0.4053687293843659,0.7332585833591091
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,9,0.4692382653719674,0.5130578512396694,0.4182320059857676,0.7509504364967615
29,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4450207641396972,0.5210233029381965,0.401139410501256,0.7453553719008265
36,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4386475363524469,0.5855766035227651,0.4172456850773873,0.7785246233871512
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,8,0.4602784601691991,0.574467418546366,0.4236928838310982,0.7345198985320414
19,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4391371884064781,0.5020865936358894,0.4189679333108457,0.7582099907493062
2,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,7,0.4363978160366878,0.5543136726815693,0.4217834196648914,0.7098639703207972
27,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4232408348382266,0.5268465615749982,0.3908963405430519,0.814099903140999
13,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4737643658918276,0.4473749895998004,0.4292835417491452,0.7652397260273973
8,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,7,0.4636074101692258,0.5623994581322496,0.4198405697201324,0.780519018841095
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,12,0.427385667073652,0.4894103873988931,0.4597997038599282,0.7183352080989877
45,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4472358227258465,0.5490956072351421,0.4068250987073719,0.7611511752136753
30,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,4,0.4512542220100431,0.5357294047921429,0.4361483265790549,0.7118769360743452
42,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4571817753368868,0.5101739277271192,0.4108576454058008,0.7493767715056516
25,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.459938340330542,0.5085341796037396,0.4278627142127227,0.7738425925925926
24,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4724331478983768,0.5422371587420132,0.3979347273171459,0.7907197689442882
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,13,0.4495442910899923,0.5455982905982906,0.4097645114996284,0.7568047337278108
