seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
15,beta,1,max,1.0,1.0,raw,30,0.4408613065048269,0.6143820689582477,0.3613105975874509,0.8688973450130866
18,beta,1,max,1.0,1.0,raw,30,0.4395655339902595,0.6281687173306151,0.3667678057736949,0.8639056195930354
17,beta,1,max,1.0,1.0,raw,30,0.4487261683742609,0.6281793552812072,0.3590720599888031,0.8756085138599722
20,beta,1,max,1.0,1.0,raw,30,0.4223409657839935,0.6394259601138261,0.3557541299032014,0.8778233206232255
19,beta,1,max,1.0,1.0,raw,30,0.4321442337335101,0.6153697784635733,0.366667054006343,0.8652281391940737
22,beta,1,max,1.0,1.0,raw,30,0.4412808704384043,0.6009522433401115,0.3567505457138132,0.8743032776503178
24,beta,1,max,1.0,1.0,raw,30,0.4350702902851709,0.6112812737436232,0.3681528914398539,0.8653191774744379
26,beta,1,max,1.0,1.0,raw,30,0.4408817044000623,0.6054337544890378,0.347027789222743,0.8857238952883604
28,beta,1,max,1.0,1.0,raw,30,0.4446942236814906,0.626457232610745,0.353104135859048,0.8721310539311296
21,beta,1,max,1.0,1.0,raw,30,0.4354418983023799,0.627582525635623,0.3372340134365673,0.8902160471624754
30,beta,1,max,1.0,1.0,raw,30,0.4544813311386356,0.602696308095952,0.3519865868990385,0.8777364271720931
32,beta,1,max,1.0,1.0,raw,30,0.4443099800324946,0.6055560591270395,0.3476492420304582,0.8818919295242055
34,beta,1,max,1.0,1.0,raw,30,0.437078545431721,0.6450207934237008,0.3579658371312728,0.875589140735192
23,beta,1,max,1.0,1.0,raw,30,0.4307244014207322,0.6347438223936932,0.3544395344621485,0.8742244100970148
25,beta,1,max,1.0,1.0,raw,30,0.4380747902107139,0.6063801708417315,0.3478381399042055,0.8822066626917034
36,beta,1,max,1.0,1.0,raw,30,0.4533086930560455,0.5970377019748654,0.3467214747214817,0.8788929532227957
27,beta,1,max,1.0,1.0,raw,30,0.4523193168300399,0.5993560875842823,0.3484725049315755,0.8814854080038722
29,beta,1,max,1.0,1.0,raw,30,0.4344452924593421,0.6436379367196977,0.3540744264013137,0.8732890598058375
33,beta,1,max,1.0,1.0,raw,30,0.4367731562045547,0.6097390944274931,0.3545259822153164,0.8755402659276834
40,beta,1,max,1.0,1.0,raw,30,0.4290315128981075,0.6506589680840216,0.3488447896601374,0.8826862622905414
38,beta,1,max,1.0,1.0,raw,30,0.4291765643185242,0.6292954313255524,0.3636282422434907,0.8697411956294858
31,beta,1,max,1.0,1.0,raw,30,0.4246340354068181,0.6656633899550419,0.3471135500550129,0.8789056056887244
35,beta,1,max,1.0,1.0,raw,30,0.4338199609626821,0.6441479290079319,0.3572572214225596,0.8746052803742568
37,beta,1,max,1.0,1.0,raw,30,0.4395500415320317,0.6367150001548323,0.3566232524538862,0.8680061676257754
44,beta,1,max,1.0,1.0,raw,30,0.435524071750798,0.6068906354777712,0.3577641791819988,0.8785997426174567
39,beta,1,max,1.0,1.0,raw,30,0.4296994641112248,0.6360510746916671,0.3540947738308119,0.878248155290961
42,beta,1,max,1.0,1.0,raw,30,0.4397732225860663,0.6343081796546368,0.3498261807737949,0.8777994070361819
41,beta,1,max,1.0,1.0,raw,30,0.4402741117237876,0.6189771802337385,0.3514214974670567,0.8772517068635343
46,beta,1,max,1.0,1.0,raw,30,0.4341524322370463,0.6551235423368567,0.3538635186004019,0.8675971394018813
48,beta,1,max,1.0,1.0,raw,30,0.4470744661510693,0.5969015146988528,0.3545733062157153,0.8821221909944592
45,beta,1,max,1.0,1.0,raw,30,0.4295970127888932,0.6237121819289729,0.3636553284254048,0.8738620519111102
43,beta,1,max,1.0,1.0,raw,30,0.4406311352620551,0.615514578980834,0.360421708885747,0.8751138944325924
47,beta,1,max,1.0,1.0,raw,30,0.4295083973155835,0.6356115035166452,0.3522638530606264,0.8751174149265262
49,beta,1,max,1.0,1.0,raw,30,0.44854745879141766,0.6168199459867638,0.36330992062550604,0.8670316278196734
